PLEKHG2	0.53
PLEKHG3	2.435
CERS4	-1.42
PLEKHG1	1.195
PLEKHG6	1.065
PLEKHG4	1.2
PLEKHG5	-0.105
NSA2	-0.895
	0.315
ZNF846	-0.07
NAMPT	-0.74
ERI3	-0.025
CERS5	0.39
MAN2A1	-2.89
BCKDK	0.855
	1.16
KIAA0355	1.245
SHANK3	-1.13
	0.26
CNOT11	-0.775
MIER1	1.01
MIER2	0.055
MIER3	0.36
ATXN7L2	-0.395
	0.49
	1.775
	0.67
CNPPD1	3.11
AQP11	-1.73
C17orf58	0.53
	1.3
	0.595
UNK	-0.56
	0.265
INVS	0.605
	1.135
RABIF	0.435
	-0.005
TUBAL3	-0.1
DAG1	-3.32
	-0.15
MYADM	0.105
	0.63
	1.59
NAF1	-0.965
CEBPB	4.425
CEBPA	1.975
CEBPG	1.38
CEBPE	2.11
CEBPD	1.865
	-0.52
	1.05
	0.09
ERICH1	-0.405
	-1.52
ACSS2	-1.5
CEBPZ	-1.845
ZNF726	-0.35
ZNF710	0.16
ZNF711	-1.24
RBM8A	-0.73
ZNF175	-0.2
MLLT4	-0.52
EDRF1	-1.295
MLLT6	-1.43
	-0.54
MLLT1	0.16
MLLT3	3.35
	-0.12
	1.1
RTF1	-0.625
	1.395
APOA1	-1.42
	-3.53
PRAMEF8	1.045
	1.775
	0.05
CRTC1	0.655
NOSIP	0.16
C11orf54	0.27
BTG3	-0.49
BTG2	5.065
BTG1	3.68
LRGUK	-1.13
C12orf43	-0.505
UPRT	-0.53
	7.17
ZSWIM4	2.835
ZSWIM5	0.445
PIF1	0.05
ZSWIM7	-0.23
AIG1	-1.45
NUPL1	-0.55
NUPL2	-1.845
ZSWIM3	-0.735
NDRG1	5.195
NDRG2	5.0
NDRG3	-0.47
	0.16
NPAT	-0.72
TTC30A	0.085
	0.58
	1.2
	0.44
ELMO3	0.03
HM13	-2.91
GGA1	0.895
GGA3	-0.895
GGA2	-0.455
	-1.13
SORBS1	1.03
SORBS3	0.01
SORBS2	-0.87
TBX2	0.67
ZSCAN12	0.135
TSHZ2	-1.02
	1.02
TSHZ1	0.215
	-0.57
INHBA	0.52
XIAP	0.67
PITPNM1	0.905
HINT3	0.395
MPLKIP	0.4
	0.96
LRIF1	0.46
	1.01
	-0.66
	-0.63
FAM151B	0.945
	1.06
CMA1	3.33
HSF2	-1.55
RUNX1T1	2.71
FAM104A	2.305
HSF5	-0.94
KIAA0368	-1.215
TRNT1	-1.565
ITM2B	-0.975
TEX9	-1.63
KCNC3	-0.03
RALGPS2	0.865
SLC35C2	-0.995
RALGPS1	-0.25
B3GNTL1	0.74
B2M	-0.545
MKL2	0.145
	-1.88
LTA4H	-0.78
LMNA	1.925
ITM2A	-4.19
MOCS2	-0.89
	1.16
ZDBF2	-0.67
SLC30A10	-1.325
SORCS2	-0.15
SUPT16H	-1.77
	0.99
CMAS	3.665
UBFD1	-0.885
FKBP15	-0.21
ACADM	-0.91
MCL1	1.025
PTTG1	0.98
	0.36
	-0.03
	0.2
TSSK6	-1.41
	0.72
PREPL	-2.105
	0.6
GPR180	-1.055
GRIA3	-1.225
	0.335
GRIA1	0.07
	2.36
SASS6	0.245
L1CAM	-1.135
SLC27A4	1.335
CEP19	-0.16
SLC27A1	0.83
	1.19
SLC27A3	0.79
	1.66
IMP3	-0.85
HMGXB3	-0.51
HMGXB4	1.07
LRRK1	-0.285
LRRK2	2.375
THEM6	-1.37
ZBTB48	-0.47
	0.195
	2.615
DBN1	-0.435
	1.73
TRIM39	0.5
TCOF1	-1.68
	1.705
USH2A	0.96
TRIM33	-0.51
TRIM32	-1.825
TRIM37	-0.64
TRIM35	-1.11
FOXO3	2.185
FOXO1	0.51
DLAT	-0.59
FOXO6	1.55
FOXO4	1.055
	-0.64
THAP11	0.325
BTAF1	-1.295
WSB1	0.78
C8orf76	-0.26
UBE3A	-0.65
DBNL	-0.06
	0.53
	-1.14
MST1R	0.05
FAM114A1	0.05
	-0.53
FAM114A2	0.53
	1.57
MTFR1	0.35
ALDOA	0.845
ALDOC	3.83
ALDOB	0.98
	-0.525
MSS51	1.64
SLC24A5	1.38
SLC24A3	0.775
ZIK1	-0.6
	-0.08
NSFL1C	-0.32
	-0.93
STX16	0.085
USP8	-0.41
SEL1L3	-1.355
	0.295
	-0.71
XPR1	-1.945
USP1	-0.61
USP2	-0.415
USP3	0.895
USP4	0.66
USP5	-1.43
USP7	-0.145
CARD9	0.525
RP9	-0.345
RIBC1	0.13
SAMSN1	-2.38
NR1D2	-0.98
TPRKB	-0.99
CARD6	1.325
	0.18
FARS2	2.735
	-0.46
RPL38	-0.985
RPL39	1.415
	0.465
RPL37	-0.175
	0.105
RPL35	-1.175
	0.245
RPL30	0.435
RPL31	-0.105
ASPHD2	2.21
	-0.395
VSX1	-0.37
MAF	0.26
FAM13B	-0.01
	-0.46
BCAS2	-2.405
BCAS3	1.115
RAD52	0.02
	0.365
	0.085
	-2.425
	-2.78
	1.94
	-0.585
TPP1	-2.84
TPP2	-1.295
RAD50	-1.515
	0.73
SFMBT1	-0.525
SFMBT2	2.44
ZZEF1	-0.475
HIST1H2BD	4.425
BRF2	-0.49
	0.53
BRF1	0.88
SETX	-1.48
	3.15
SGPP1	-1.71
	-0.64
MLYCD	-0.695
HIST1H4B	1.69
	2.825
EFHB	1.07
C1orf109	-0.65
	1.225
FARSB	-0.97
RPL3L	-0.485
UAP1L1	-0.49
TTBK2	0.665
AMMECR1L	-0.065
CCDC90B	0.205
NCOR2	-0.845
NCOR1	-0.11
	0.245
LYSMD3	-0.32
PLA2G4C	0.395
PEBP1	-0.96
	0.595
MAGOHB	-1.12
	-0.55
	-0.895
PPME1	0.255
RBMXL2	-0.08
FLNA	1.025
FLNB	-1.835
FLNC	-0.52
GLTPD2	0.36
	1.095
CEP164	0.375
	-1.365
ADIPOR1	3.91
FGR	2.595
	0.01
APAF1	-0.62
	-2.95
	-0.57
LRRIQ3	-1.22
	0.25
	1.465
TGM1	-1.1
CNNM3	-0.16
CNNM2	-0.37
	-1.345
	1.31
TINF2	-0.49
	0.53
	-0.675
	-0.035
C22orf15	3.375
	0.31
	-0.595
	-1.24
	1.855
	1.73
	0.015
	1.01
FOXF1	0.92
	3.19
	-1.385
RALY	1.145
RAB27A	2.16
	1.645
POLD1	-0.725
POLD2	-0.925
POLD3	-0.585
POLD4	0.69
	-1.35
DUT	-0.695
RALB	0.525
RALA	-0.045
HDAC1	-0.45
	-0.845
SH3YL1	2.025
HDAC2	-0.81
HDAC5	2.52
HDAC4	-1.625
HDAC7	-1.265
HDAC6	-0.14
HDAC9	0.49
HDAC8	0.085
CEL	1.2
GSTCD	-0.305
GZF1	-1.31
AGL	-1.665
	1.62
	1.75
GMPR	1.75
GMPS	-1.25
C3orf80	-1.65
ENTHD2	-0.295
	0.795
KARS	-1.955
FLI1	1.605
C20orf194	-0.55
UPF3B	-1.4
UPF3A	1.205
STRN	1.4
	-0.71
C2orf80	0.05
	-0.7
	0.72
CORO1B	0.125
CLCN3	0.03
CLCN2	-2.785
ZNF76	0.24
CLCN7	-1.695
CLCN6	-1.965
CLCN5	-1.055
	-1.39
HFM1	-1.78
DMRTA2	-0.74
	0.99
IKZF5	0.57
IKZF4	1.58
IKZF1	-0.525
IKZF3	0.51
IKZF2	-0.69
H2AFV	2.255
DMRTA1	1.68
MAGEE1	0.075
	0.53
MBTD1	-0.22
H2AFX	-0.655
H2AFY	0.195
H2AFZ	-0.155
SGSH	-0.885
SON	-1.165
PIGY	0.745
DCLK2	-0.405
LYPD1	2.6
CNN1	1.02
BANP	0.99
