UBE2Q1	0.22
RNF14	-1.2
	0.71
UBE2Q2	0.81
	2.14
RNF11	1.39
RNF13	0.92
	2.15
	2.18
	1.33
	-0.56
MVB12B	-0.01
MZT2A	-2.2
	-2.0
	-0.14
	0.04
	-0.06
PMM1	-1.43
ASS1	-2.58
	-0.49
NCBP1	-1.73
	-0.16
	-0.25
ZNF879	-1.19
	-1.44
ATRIP	0.63
ZNF703	-0.66
STYXL1	-0.04
	0.23
	0.53
ZNF707	-0.37
ZNF706	0.35
ZC3H10	-1.92
	1.67
RNF115	-1.2
	0.88
ZC3H14	-0.57
SPN	2.89
RNF111	-0.41
	-0.14
ZC3H18	0.29
	-0.17
DHX8	-1.3
DHX9	0.18
	-0.14
TCOF1	-0.33
NSRP1	0.7
NUP98	-0.17
XPC	0.42
SP1	-0.04
GRINA	0.92
SP3	-0.21
NUP93	-1.35
	1.54
SP7	-1.15
SPPL3	-0.15
GOLIM4	0.21
OPA3	-1.22
	2.07
OPA1	-0.47
	-2.09
RAB40C	-0.23
RAB40B	-1.14
	0.39
COL7A1	-0.4
	-1.45
	0.45
GTSE1	-0.87
B2M	0.41
	-2.6
	-2.18
	-0.95
SLC7A11	-1.06
SPPL2A	-1.57
	0.48
SPPL2B	3.51
NOP9	1.12
UGCG	2.25
	1.8
ATP2A1	-1.21
ATP2A2	-0.27
ATP2A3	-2.31
NOP2	2.98
ITGA4	-0.06
ITGA5	2.58
ITGA6	1.78
ITGA7	-1.39
PMM2	-0.9
DENND4A	3.68
DENND4B	1.44
DENND4C	1.71
SWAP70	-3.49
PHLDA1	0.89
PHLDA3	0.52
UFSP2	-0.46
	-0.97
	0.13
	0.72
	0.01
	0.91
	-0.65
	0.21
SQLE	-3.12
FBXL13	0.2
FBXL12	0.93
TIPRL	-1.46
CYP27B1	1.47
FBXL17	0.29
HRH1	-3.16
FBXL19	2.52
FBXL18	-0.75
RALGAPA2	1.01
GHDC	1.68
SDK1	-0.2
	-1.17
TPRN	1.21
THSD4	-0.29
SZRD1	0.9
FAM212B	-1.59
FAM212A	-2.81
	0.47
CHST8	-1.86
COL4A5	-0.06
	-2.65
COL4A2	-1.1
COL4A1	-1.56
GRN	0.75
	0.63
CHST4	0.59
CHST7	-1.6
CHST6	0.31
ITGAX	-2.68
ABHD10	1.33
	0.31
	-3.88
HLCS	2.62
NOG	-1.96
ITGAV	-0.76
	-2.01
CAMK1	-5.13
ITGAL	6.85
ITGAM	0.9
ITGAD	-1.49
ITGAE	-1.71
	-0.98
	1.5
TRERF1	-0.75
	2.39
	2.02
SMAD6	0.26
SMAD7	0.11
GOLPH3L	1.56
SMAD1	-2.23
SMAD2	-0.72
SMAD3	1.06
MUS81	1.43
	-2.07
ST3GAL6	-1.93
AMMECR1L	-2.08
	0.58
	4.88
NECAP1	1.16
IGF2R	0.87
HRH2	2.89
ABHD14B	-1.11
	0.58
SLC36A4	-3.07
CKS1B	-2.45
SLC36A1	0.63
	-1.14
ERICH4	0.54
ERICH1	-0.85
C14orf119	0.67
	0.48
	0.8
	-1.54
	2.25
	0.82
HAUS7	-1.14
DRAP1	-0.29
TCEA2	0.26
TCEA1	-1.93
ABCD1	1.46
COX4I1	-1.69
	-2.05
BFAR	0.13
	-2.85
	4.44
	-2.29
ABCD2	1.14
	-1.13
PIPOX	-0.72
CADPS2	1.14
RLF	1.28
CCDC112	0.83
CCDC113	-0.97
RAB3A	-0.62
LEO1	1.42
ATP1A4	-2.61
ATP1A3	-2.28
ATP1A2	-2.8
ATP1A1	-4.03
	2.94
	1.35
	-0.36
MGRN1	0.88
TCP1	0.88
CRTAP	0.59
SP8	0.88
SPHK1	0.85
	-0.14
CUEDC1	-4.31
CUEDC2	-2.44
CBLB	1.46
CPEB4	-3.03
GNA15	-1.09
CPEB3	3.12
CPEB2	2.86
BEGAIN	-2.85
	0.71
SRBD1	-0.39
ABAT	-1.94
	0.28
ZNF780B	1.15
FRG1	-1.44
	3.17
RHEBL1	-1.84
	0.25
IFT80	0.28
IFT81	0.73
	0.72
IFT88	-0.43
IL10RA	0.2
DEPDC1	-1.07
	-0.17
	-0.09
	0.57
	-0.76
CNTF	0.8
	0.23
MCM10	-1.72
	0.6
CSK	0.36
SP4	-1.17
LTBP3	2.82
IL10RB	-1.74
	0.58
ATG4B	0.02
ATG4A	1.06
THUMPD2	1.63
	1.24
ATG4D	1.37
CAMKV	3.31
ISG15	3.4
	1.1
CFH	2.96
GPT2	-2.44
PNP	-0.04
ANKFY1	1.23
	0.44
CREBBP	3.24
PNN	1.11
ATP6V0E1	1.98
NFIL3	2.41
CFP	2.57
	0.97
	1.87
AAAS	-0.33
	-0.94
	-0.11
LAP3	1.45
	-0.85
	-0.2
	0.85
SIDT2	1.37
CREB3	-0.32
	1.21
	-0.12
FGGY	-0.02
SIX5	0.7
	-0.84
MR1	-1.73
	1.35
	-0.71
PAOX	1.95
	1.97
CNPY4	0.63
CNPY3	1.19
CNPY2	-1.43
	-0.9
	0.02
HMG20A	1.02
HMG20B	-0.4
AAGAB	-0.25
	-0.14
SCYL2	-0.73
SYNJ2	1.81
CREB1	0.66
SHOX2	3.65
ZFP82	-0.2
	-1.5
SMDT1	-2.01
GPR75	-1.45
	-0.2
RFX8	-0.49
	-0.09
APP	-0.82
RFX7	1.08
RFX1	1.15
RFX2	-3.53
RFX3	-0.27
YDJC	-1.14
IBA57	-0.44
APC	1.0
TMEM179B	-0.4
