UBE2Q1	0.72
RNF14	-1.1
UBE2Q2	1.48
RNF10	1.16
RNF11	2.06
RNF13	-1.1
	-1.73
	-1.75
	-0.49
	-0.01
MVB12B	0.82
MZT2A	1.45
	1.44
ATRX	-0.97
PMM2	0.17
	0.07
	-0.17
	3.36
NCBP1	-1.54
	0.5
	0.61
	0.25
ZNF879	0.45
ZNF878	-0.67
NID2	-1.9
ZNF703	1.95
STYXL1	-0.47
	0.74
	-1.24
ZNF707	-0.54
ZNF706	0.39
ZNF704	0.37
ZC3H10	0.14
	-0.27
RNF115	0.92
	0.14
ZC3H14	-0.99
RNF111	1.49
	0.51
ZC3H18	0.21
DHX8	0.59
DHX9	-0.88
	-0.82
TCOF1	-1.03
NSRP1	-1.76
NUP98	-0.62
XPC	-1.81
SP1	-0.86
GRINA	-0.41
SP3	-0.18
NUP93	-0.75
SP5	-1.06
CAMKV	-2.05
SPPL3	-0.64
GOLIM4	-2.29
OPA3	0.77
OPA1	-2.22
	-1.26
RAB40C	0.66
RAB40B	0.09
	-0.25
COL7A1	-0.06
	-0.26
GTSE1	0.87
	0.54
B2M	0.64
	-0.05
SPPL2A	0.49
	1.96
SPPL2B	-0.86
ITGA8	0.21
ITGA9	1.52
UGCG	-0.11
WDR93	2.2
ATP2A1	0.08
ATP2A2	-0.37
ATP2A3	0.31
ITGA1	0.03
ITGA2	-1.37
ITGA3	1.64
ITGA4	-1.7
ITGA5	-1.1
ITGA6	0.27
ITGA7	-1.11
DENND4A	-1.29
DENND4B	0.01
DENND4C	-1.16
SWAP70	-0.14
UFSP1	0.84
PHLDA3	-1.61
UFSP2	-0.8
	-1.14
PMM1	-1.23
	-1.06
ASS1	-1.03
	-0.36
	-0.08
FBXL13	0.54
FBXL12	1.51
TIPRL	-0.25
FBXL14	0.41
FBXL17	-0.37
FBXL16	0.54
FBXL19	-0.14
FBXL18	0.74
RALGAPA2	-0.04
GHDC	0.35
SDK1	-0.44
SDK2	-1.33
	1.04
TPRN	-2.01
THSD4	1.09
SZRD1	0.11
FAM212B	-1.41
THSD1	0.94
CHST9	1.3
COL4A6	-2.02
COL4A5	-3.81
	-0.23
COL4A3	-0.06
COL4A2	0.17
COL4A1	0.86
GRN	0.65
CHST3	-1.76
CHST2	1.48
CHST4	2.55
CHST7	1.38
CHST6	-1.33
HLX	-0.05
HLCS	-1.85
NOG	-1.46
ITGAV	-1.88
	-0.23
CAMK1	0.05
HLF	-0.11
ITGAE	-1.51
	-1.25
	2.22
SMAD9	-2.37
TRERF1	-2.91
LRPAP1	0.69
SMAD5	-1.47
SMAD6	-2.81
SMAD7	-1.79
GOLPH3L	-0.93
SMAD1	-1.56
SMAD2	0.4
SMAD3	0.06
MUS81	-0.64
	-1.29
AMMECR1L	-0.65
	-1.58
	-0.88
NECAP1	0.82
IGF2R	-1.98
ABHD14B	-0.71
SLC36A4	0.96
CKS1B	0.56
SLC36A1	0.1
	1.06
	0.27
ERICH5	0.16
ERICH2	-1.42
ERICH1	0.02
C14orf119	0.71
	-0.57
	-0.39
ART5	2.29
	1.57
	0.4
HAUS7	0.0
ADRM1	2.37
TCEA2	0.39
TCEA1	-0.06
ABCD1	-5.42
COX4I1	-0.34
BFAR	-0.85
	-0.16
	4.14
	-1.77
ABCD2	-0.36
	-0.53
DCBLD1	0.45
CADPS2	-1.06
RLF	0.61
CCDC112	-0.76
MCF2L	1.07
CCDC110	-1.72
MEI4	-0.85
LEO1	-0.28
MTCL1	-0.66
ATP1A4	-1.51
ATP1A3	0.88
ATP1A2	2.76
ATP1A1	-0.8
	0.07
	0.52
	0.7
MGRN1	-0.4
TCP1	-1.29
