UBE2Q1	-1.56
RNF14	-1.04
UBE2Q2	-1.93
RNF10	-0.13
RNF11	-1.86
RNF13	-0.36
	1.07
	1.0
	1.16
	-1.81
MVB12B	0.9
MZT2A	0.03
	0.21
ATRX	-0.21
PMM2	-2.65
	-0.44
ASS1	1.29
	-2.11
NCBP1	1.09
	-1.91
	1.48
	0.91
ZNF879	2.87
NID2	1.19
ZNF703	2.51
STYXL1	0.61
	0.92
	1.56
ZNF707	0.4
ZNF706	-4.46
ZNF704	0.39
ZC3H10	-0.07
	0.33
RNF115	0.08
	-0.51
ZC3H14	-0.61
RNF111	1.28
	-2.09
ZC3H18	0.14
GRIN1	-0.37
DHX8	1.05
DHX9	1.73
	0.2
TCOF1	1.28
NSRP1	0.56
NUP98	0.77
XPC	1.62
SP1	0.21
GRINA	0.51
SP3	0.26
NUP93	1.47
SP5	2.29
CAMKV	0.32
SPPL3	-5.61
GOLIM4	-1.05
OPA3	0.02
OPA1	0.65
	-0.22
RAB40C	-0.47
RAB40B	0.11
	0.1
COL7A1	-2.31
MDP1	-0.37
	1.1
GTSE1	-1.6
	-0.37
B2M	-1.73
	1.19
SPPL2A	-1.86
	2.27
SPPL2B	1.44
ITGA8	1.54
ITGA9	0.35
UGCG	-0.86
ATP2A1	-1.02
ATP2A2	0.03
ATP2A3	-1.43
ITGA1	-0.46
ITGA2	0.56
ITGA3	0.01
ITGA4	-0.08
ITGA5	-0.17
ITGA6	-0.9
ITGA7	0.7
DENND4A	0.64
DENND4B	-0.37
DENND4C	0.81
SWAP70	0.14
UFSP1	-1.8
PHLDA3	-0.71
UFSP2	-0.87
	-1.47
	-1.15
	-0.44
	-1.07
NENF	-1.05
	0.43
FBXL13	-1.38
FBXL12	-2.85
TIPRL	-1.38
CYP27B1	2.22
FBXL17	0.4
FBXL16	0.63
FBXL19	-0.39
FBXL18	1.08
RALGAPA2	-0.43
GHDC	2.25
SDK1	-0.06
SDK2	1.97
	-0.39
TPRN	-0.35
THSD4	0.67
SZRD1	1.45
FAM212B	2.03
FAM212A	-0.37
CHST9	-2.0
CHST8	-0.41
COL4A5	-0.46
	-1.6
COL4A2	-0.76
COL4A1	-0.4
GRN	1.11
CHST3	0.35
CHST2	-2.09
CHST4	-1.75
CHST7	1.04
CHST6	0.89
HLX	1.7
HLCS	1.21
NOG	2.11
ITGAV	-0.13
	0.03
CAMK1	-1.97
HLF	0.8
NOV	0.95
ITGAE	1.07
	2.46
	3.59
SMAD9	2.13
TRERF1	1.25
LRPAP1	-0.22
SMAD5	-0.17
SMAD6	2.71
SMAD7	3.53
GOLPH3L	1.7
SMAD1	1.78
SMAD2	-0.78
SMAD3	1.08
MUS81	0.32
	-1.62
AMMECR1L	0.4
	-1.11
	4.72
NECAP1	-0.74
IGF2R	1.23
TMEM9	0.44
ABHD14B	0.68
	0.8
RAD21L1	0.4
SLC36A4	-0.89
CKS1B	-1.32
SLC36A1	-0.73
	0.4
	0.39
	-0.37
ERICH5	-0.02
ERICH2	-0.85
ERICH1	-0.85
C14orf119	0.04
	0.8
	0.77
ART5	-0.27
	0.23
