UBE2Q1	-1.37
RNF14	0.57
UBE2Q2	-0.33
RNF10	2.9
RNF11	1.51
RNF13	0.29
	-0.5
	-0.51
	-1.17
MVB12B	-0.06
MZT2A	-1.68
	-1.33
ATRX	-0.87
PMM2	0.19
	0.43
	-0.24
	-0.84
	3.01
NCBP1	0.39
	-1.02
	-1.3
	1.15
ZNF879	-1.38
NID2	0.06
ZNF703	0.26
STYXL1	2.36
	0.5
	0.5
ZNF707	-2.41
ZNF706	-2.0
ZNF704	1.06
ZC3H10	-0.9
	-1.56
RNF115	-0.96
	2.01
ZC3H14	0.38
RNF111	1.62
	-0.12
ZC3H18	-0.27
DHX8	-2.15
DHX9	-1.66
	2.28
TCOF1	-0.12
NSRP1	2.24
NUP98	-1.56
XPC	-0.83
SP1	-0.1
GRINA	-0.87
SP3	-0.41
NUP93	-0.72
SP5	-2.2
SP6	-2.48
CAMKV	0.02
SPPL3	-5.36
GOLIM4	-0.56
OPA3	0.46
OPA1	0.39
	-0.78
RAB40C	-1.2
RAB40B	0.43
	2.55
COL7A1	0.19
	-2.35
GTSE1	-3.32
	1.88
B2M	1.51
	0.86
SPPL2A	0.21
	1.86
SPPL2B	0.31
ITGA8	0.83
ITGA9	0.63
UGCG	0.87
ATP2A1	0.81
ATP2A2	-0.6
ATP2A3	0.04
ITGA1	-0.35
ITGA2	1.47
ITGA3	0.36
ITGA4	1.72
ITGA5	-1.44
ITGA6	-0.31
ITGA7	0.34
DENND4A	1.86
DENND4B	-0.27
DENND4C	-0.52
SWAP70	0.07
UFSP1	-1.65
PHLDA3	0.04
UFSP2	0.1
	0.43
	-0.32
GAP43	-0.63
ASS1	0.31
	1.27
FBXL12	-2.73
TIPRL	0.76
CYP27B1	1.1
FBXL17	0.02
FBXL16	1.66
FBXL19	-2.39
FBXL18	-0.42
RALGAPA2	-0.95
GHDC	0.06
SDK1	0.96
SDK2	-2.74
	-0.63
TPRN	-0.97
THSD4	0.07
SZRD1	5.42
FAM212B	-0.78
THSD1	-1.95
CHST9	-0.16
CHST8	-2.34
COL4A5	-3.38
	1.75
COL4A2	-2.45
COL4A1	-2.52
GRN	-1.53
CHST3	2.24
	1.03
CHST4	0.34
CHST7	-0.77
CHST6	0.2
HLX	-1.78
HLCS	0.54
NOG	1.19
ITGAV	-1.2
	1.01
CAMK1	-1.37
HLF	-1.95
	1.23
ITGAE	1.1
	-1.21
	3.1
SMAD9	1.45
TRERF1	0.38
LRPAP1	0.3
SMAD5	-0.75
SMAD6	0.37
SMAD7	-0.34
GOLPH3L	2.65
SMAD1	0.36
SMAD2	-0.41
SMAD3	-0.64
MUS81	-0.25
	0.43
AMMECR1L	1.3
	-0.19
	5.27
NECAP1	-0.13
IGF2R	-0.58
TMEM9	0.07
ABHD14B	-0.95
	-1.72
SLC36A4	-2.98
CKS1B	-2.08
SLC36A1	0.31
	-0.4
ERICH5	2.85
ERICH2	-0.58
ERICH1	0.12
C14orf119	1.12
ART1	1.86
	0.04
