UBE2Q1	-0.39
RNF14	0.55
UBE2Q2	-0.91
RNF10	-1.34
RNF11	0.97
RNF13	0.67
	-0.37
	-0.4
	-0.1
	1.2
MVB12B	-0.92
MZT2A	0.75
	1.08
ATRX	-0.92
PMM2	-0.33
	1.45
ASS1	-0.28
	0.87
NCBP1	-0.2
	0.11
	0.11
	0.71
ZNF879	1.99
NID2	-0.56
ZNF703	1.21
STYXL1	0.25
	-1.43
	2.04
ZNF707	0.94
ZNF706	-1.92
ZNF704	-3.1
ZC3H10	-1.57
	0.22
RNF115	-1.13
	-1.14
ZC3H14	-1.04
RNF111	-0.08
	0.64
ZC3H18	-0.17
TRAF4	-0.51
DHX8	0.27
DHX9	-0.43
	1.03
TCOF1	-0.03
NSRP1	0.25
NUP98	-0.95
XPC	1.54
SP1	-0.57
GRINA	0.43
SP3	-0.4
NUP93	0.37
SP5	1.04
CAMKV	1.35
SPPL3	-6.35
GOLIM4	-3.76
OPA3	1.69
OPA1	-0.54
	0.44
RAB40C	0.85
RAB40B	-2.07
	-0.41
COL7A1	-0.12
	3.8
GTSE1	-1.98
B2M	-2.14
	1.01
SPPL2A	-3.71
	-0.1
SPPL2B	1.64
ITGA8	-0.03
ITGA9	-1.61
UGCG	-1.79
ATP2A1	-2.1
ATP2A2	-1.16
ATP2A3	-0.04
ITGA1	-2.15
ITGA2	-1.49
ITGA3	-1.47
ITGA4	-0.95
ITGA5	0.3
ITGA6	-2.52
ITGA7	0.22
DENND4A	-0.06
DENND4B	-0.92
DENND4C	0.04
SWAP70	-0.31
UFSP1	-0.46
PHLDA3	-0.05
UFSP2	-0.67
	-1.09
PMM1	-0.13
GAP43	-0.88
	0.98
FBXL12	-2.12
TIPRL	-1.61
CYP27B1	1.35
FBXL17	0.21
DDX18	-0.5
FBXL19	-0.91
FBXL18	1.02
RALGAPA2	-1.53
GHDC	0.81
SDK1	-1.24
SDK2	-0.48
	3.34
TPRN	0.97
THSD4	1.45
FAM212B	1.03
THSD1	-0.38
CHST9	-1.4
CHST8	-2.01
COL4A5	-1.78
	-1.34
COL4A2	-2.39
COL4A1	-0.39
GRN	-0.05
CHST3	-0.54
CHST2	-0.67
	1.35
CHST4	-1.91
CHST7	1.45
CHST6	-0.39
HLX	0.89
HLCS	-0.55
NOG	-1.18
ITGAV	-2.99
	1.28
CAMK1	-1.5
ITGAE	1.87
	-0.15
	6.03
SMAD9	-1.15
TRERF1	0.06
LRPAP1	-1.39
SMAD5	-1.32
SMAD6	1.78
SMAD7	3.73
GOLPH3L	0.96
SMAD1	-0.27
SMAD2	-1.97
SMAD3	-0.8
MUS81	1.5
	-1.62
AMMECR1L	1.02
	-0.68
	7.25
NECAP1	0.42
IGF2R	-0.47
ABHD14B	0.96
	-0.57
SLC36A4	-1.36
CKS1B	-0.96
SLC36A1	-2.2
	-0.66
ERICH5	1.76
ERICH2	0.17
ERICH1	0.47
C14orf119	-0.45
	-1.11
	-0.33
ART5	-0.68
	0.55
HAUS7	-0.09
ADRM1	-1.94
TCEA2	-1.04
TCEA1	-1.42
ABCD1	1.71
COX4I1	-0.92
BFAR	-0.57
	-1.9
	0.02
	-0.84
	2.44
ABCD2	1.65
	-1.1
CADPS2	-0.84
RLF	0.03
CCDC112	-0.68
MCF2L	-1.84
CCDC110	1.78
MEI4	0.39
LEO1	-0.94
MTCL1	-0.42
ATP1A4	-1.93
ATP1A3	-0.12
ATP1A2	-1.66
ATP1A1	-2.26
	0.49
	0.68
	1.96
MGRN1	-0.67
TCP1	-0.49
CRTAP	-2.55
SP8	1.6
SPHK1	0.03
	-2.31
CUEDC1	-2.01
CUEDC2	-0.08
SP9	1.13
CPEB4	1.24
CPEB1	-0.85
CPEB3	-1.55
CPEB2	2.23
	-1.93
SRBD1	0.48
ABAT	-0.53
	-0.22
ZNF780B	0.14
FRG1	1.74
	-0.53
	1.5
IFT80	-0.33
	1.93
	0.48
IFT88	-1.21
DEPDC1	-3.76
SP2	0.43
	3.45
MCM10	0.4
	0.8
CSK	-4.64
SP4	-1.44
IL10RB	-1.43
ATG4C	0.19
ATG4B	1.79
ATG4A	0.73
	-0.84
ATG4D	0.25
PHOX2A	-0.07
	2.56
GPT2	2.06
PNP	-0.11
ANKFY1	1.35
	-0.79
CREBBP	-2.87
	-0.15
PNN	-2.1
ATP6V0E1	-2.72
ATP6V0E2	0.64
NFIL3	0.13
	5.82
	0.92
AAAS	0.54
LTBP1	-1.2
SIDT2	-0.7
CREB3	-0.86
TUBA4A	-1.15
SIX4	2.15
SIX5	-0.46
	-2.05
MR1	2.83
SIX2	-0.72
CNPY4	0.38
CNPY3	-0.88
CNPY2	0.43
CNPY1	-0.66
	0.22
SYNJ1	0.79
HMG20A	1.66
HMG20B	0.9
GLT8D2	-0.67
AAGAB	0.09
PHOSPHO1	1.4
SCYL2	-0.93
SYNJ2	2.17
C3orf70	0.5
SHOX2	-1.11
ZFP82	1.4
CHFR	0.67
SMDT1	0.56
	0.53
SYPL2	1.37
ZCCHC12	1.02
	2.28
APP	-1.05
RFX7	-1.37
	-0.49
RFX1	-1.09
RFX2	-0.44
RFX3	0.5
YDJC	2.55
IBA57	3.21
APC	-0.51
TMEM179B	-0.78
ETV3L	-0.94
	-0.11
XPNPEP1	0.56
	-0.32
	0.13
GGCX	0.48
ADNP	-1.08
	-0.5
	2.24
STXBP6	-1.21
KHDRBS1	-0.18
	-1.84
KHDRBS3	-1.56
KHDRBS2	-1.23
FLT4	1.06
STAC3	-0.68
	-1.12
	1.13
	-0.72
	0.9
DPYSL4	0.27
TARS2	1.04
	4.62
DPYSL3	1.18
	3.81
	-1.36
IGFBP2	-1.14
IGFBP3	1.93
	0.67
IGFBP6	-0.1
IGFBP7	0.11
IGFBP4	-1.47
IGFBP5	2.06
CYP2R1	-0.12
CKLF	-2.54
HNRNPA1L2	-0.34
	0.6
	1.39
	0.15
	0.57
	-0.84
	-0.95
KDM3B	0.0
	0.65
	-1.72
KDM3A	-0.26
ZNF112	-1.66
PPP6R3	-0.86
NSL1	2.51
TMC6	0.56
TMC7	-1.55
APIP	-2.26
EIF2B4	-1.67
GTPBP2	-0.65
EIF2B2	0.93
EIF2B3	0.34
EIF2B1	-1.4
PRKAR2A	-1.15
PRKAR2B	-0.12
MAGT1	-0.68
TXNIP	3.46
MLF1	-1.29
	0.49
IFT140	-1.31
MLF2	-0.73
TMEM14C	0.85
	-1.25
TMEM14A	-1.03
FANCF	2.97
MECOM	1.29
ITGA2B	1.33
	2.57
	-3.73
CEPT1	-0.96
PHACTR4	-1.32
CLIC4	0.89
NOP2	0.43
NLGN2	0.5
NLGN3	0.48
PHACTR3	-1.3
NLGN1	-1.88
	-1.71
	-4.27
TMEM147	-1.22
ENY2	-1.25
TMEM145	-1.38
	2.63
TMEM143	1.27
RIT1	2.67
	2.92
API5	-0.21
	1.33
LRFN4	-1.95
	-1.08
RNF180	-0.68
SOWAHA	-0.9
SECISBP2L	-0.14
	-2.58
HAS2	1.42
	0.17
	3.54
FAM32A	0.55
KIAA1191	-1.47
VMP1	-1.94
	1.35
	2.27
ZMAT1	0.6
ZMAT3	-0.8
ZMAT2	-1.01
	0.6
C19orf24	0.86
	0.43
MYBL1	0.4
NR1D1	-1.07
NR1D2	-4.17
MYBL2	-0.73
ITGB1BP1	-0.37
	-1.8
	-1.31
ZNF7	2.93
ZNF2	2.64
ZNF3	3.49
TIPIN	0.45
PHLDA1	1.03
RNF182	-2.01
ZNF8	1.64
	1.1
	-0.12
PHLDA2	2.32
SYNDIG1	0.8
	0.5
OGFR	0.99
CDC5L	0.0
	1.03
RAC2	-2.11
RAC3	0.97
RAC1	-1.97
SBDS	-0.92
VCL	0.23
VCP	-0.58
CPLX1	-1.32
AP2A1	0.04
AP2A2	-0.22
PBX4	1.56
FIGNL1	-0.41
PBX2	1.86
PBX3	-2.87
PBX1	0.81
	-4.02
NSUN3	0.37
NSUN2	-0.72
NSUN5	2.18
NSUN4	0.52
NSUN6	2.22
TUBG1	0.24
TUBG2	0.28
PTCH2	-0.5
PTCH1	0.7
TIMM44	-0.45
PAGR1	-0.97
	-1.68
	2.24
RAD9A	2.3
	-1.92
ERGIC2	-2.89
ERGIC3	-1.73
CDR2L	-2.47
ERGIC1	-2.84
	1.91
	2.75
CLU	-2.43
B3GAT3	0.15
