CERS6	-0.64
PLEKHG2	1.43
CERS4	0.05
CERS5	1.43
CERS2	1.34
NSA2	-1.475
NAMPT	-1.37
MAN2A2	-1.815
SEPT7	0.415
NDC1	1.4
BCKDK	1.54
HSPBAP1	-2.065
MIER1	-1.305
MIER2	0.505
MIER3	1.07
CNPPD1	-0.39
C17orf58	-2.12
INVS	0.845
DAG1	-1.375
MYADM	-0.995
NAF1	0.765
CEBPB	-2.985
CEBPG	0.2
RGS13	0.445
ERICH1	-1.085
	1.255
CEBPZ	-0.415
ARL1	-0.56
ZNF710	-0.39
RBM8A	1.295
ZNF175	-0.32
EDRF1	-0.1
MLLT6	-2.1
	-0.41
MLLT1	0.435
MLLT3	-1.09
RTF1	-0.315
	-0.535
KIAA0355	-1.715
PRAMEF8	0.13
CRTC1	-1.64
NOSIP	1.28
SNRPD3	1.76
BTG2	-1.3
SNRPD1	2.075
UPRT	-0.915
ZSWIM4	-1.77
ZSWIM5	0.825
ZSWIM6	-0.27
RTN4IP1	0.675
NUPL1	1.3
NUPL2	-0.02
ZSWIM3	-1.13
NDRG1	-0.41
NDRG2	-1.18
NDRG3	-0.055
ZSWIM8	-0.62
MAK16	0.025
HM13	0.12
GGA1	-0.625
GGA3	-0.47
GGA2	1.785
	-0.79
SORBS1	0.8
TSHZ1	-0.7
XIAP	-1.02
MPLKIP	-0.825
HSF1	0.585
CNBD1	1.29
FAM104A	-0.42
TRNT1	1.05
TEX9	-0.62
RALGPS2	1.07
TEX2	0.165
LTA4H	-0.455
LMNA	-0.26
SORCS2	-1.83
SUPT16H	-0.205
CMAS	-0.855
UBFD1	-0.42
FKBP15	1.115
MCL1	-0.54
PTTG1	0.455
	-1.24
PREPL	-0.795
GPR180	0.375
SASS6	0.805
SLC27A4	-0.725
CEP19	-0.62
SLC27A1	-0.1
IMP3	1.355
HMGXB3	0.06
HMGXB4	-0.245
LRRK1	-1.41
IMP4	-0.34
TRIM39	-0.85
TCOF1	-0.63
TRIM33	0.105
TRIM32	-0.93
TRIM37	-0.585
TRIM35	-2.145
FOXO3	-1.63
FOXO1	-0.115
DLAT	0.125
FOXO6	0.63
FOXO4	0.365
	-0.84
THAP11	-0.875
BTAF1	-0.245
DBNL	0.27
FAM114A2	-0.655
ALDOA	0.16
ALDOC	-0.095
	0.585
COPE	0.045
TESK1	-0.47
NSFL1C	-0.73
USP8	-1.545
USP1	1.02
USP2	0.375
USP4	0.55
USP5	-1.1
USP7	-0.345
ZNF691	-0.11
IL1RAP	-0.435
MIS12	-0.105
NR1D2	-1.325
CALR3	-0.18
CARD6	0.195
FARS2	-1.485
RPL37	-0.54
	1.3
	1.87
RPL30	2.92
FAM13B	-0.42
BCAS2	1.195
BCAS3	-1.185
EXOSC10	-0.81
	-0.115
	1.775
MTHFR	-0.965
TPP1	-0.005
TPP2	1.14
RAD50	-0.2
SFMBT1	-0.965
ZZEF1	-1.21
BRF2	0.295
BRF1	0.365
SETX	-0.27
FUCA1	-0.21
FUCA2	-0.68
MLYCD	-0.635
HIST1H4B	-0.54
FARSB	0.63
FARSA	-0.365
UAP1L1	-1.35
CCDC90B	0.1
NCOR2	0.115
NCOR1	0.29
LYSMD3	-1.42
PEBP1	0.925
MAGOHB	1.16
	-0.115
PPME1	0.545
FLNA	-0.785
FLNB	0.865
CEP164	0.72
	-1.335
	0.41
CNNM3	-1.01
CNNM2	-1.5
MCM3AP	0.03
TINF2	0.745
	1.92
CHAT	-0.25
RALY	1.1
POLD1	1.115
POLD2	1.315
POLD3	0.625
POLD4	1.55
DUT	1.94
RALB	0.255
RALA	0.975
HDAC1	1.39
HDAC3	0.425
HDAC2	-0.135
HDAC5	-1.34
HDAC4	0.54
HDAC7	-0.17
HDAC6	-0.61
HDAC9	-0.245
HDAC8	0.94
GSTCD	0.29
GZF1	0.25
GMPS	0.45
EPAS1	-1.82
DPY19L1	-0.765
COG7	-1.135
C20orf194	-0.83
UPF3B	0.21
UPF3A	-2.59
STRN	0.35
NACC2	0.14
NACC1	-0.25
CLCN3	-0.52
CLCN2	0.425
CLCN7	0.745
CLCN6	0.27
CLCN5	-0.43
	0.35
IKZF5	-1.365
IKZF1	1.285
IKZF3	-0.415
H2AFV	0.53
MBTD1	-1.28
H2AFX	1.84
H2AFY	-0.72
SGSH	0.12
PIGY	-1.305
BANP	-0.64
CNN3	-2.43
CNN2	0.615
HADHA	-0.125
SEPT10	-0.14
FGF11	-0.255
CIZ1	0.79
ASL	0.32
IKBIP	-1.705
SKP1	-0.895
LMCD1	2.075
ANGEL2	-1.055
ANGEL1	-0.645
SNRPD2	1.66
DNLZ	-1.4
BTG1	0.62
	-0.14
BABAM1	-0.22
PHC3	-0.175
PHC2	-0.65
SEC16A	-1.48
SEC16B	0.34
MED22	0.015
	0.32
ZWINT	-0.8
GOLT1B	0.49
	-3.295
CSNK2A2	-0.65
PIF1	0.075
ZSWIM7	-1.475
TERF2IP	0.24
RNF6	-0.53
RNF4	1.665
RNF5	0.195
CHMP7	1.215
CHMP6	0.455
NET1	0.93
ZSWIM1	0.92
RECQL5	-0.265
RECQL4	0.44
SCLT1	0.17
	-0.875
YTHDC1	1.34
NAIF1	-0.735
MARK4	-2.32
MARK2	-1.195
MARK3	-0.1
SLC12A9	0.04
STRIP1	-2.275
NMD3	1.05
NDRG4	-0.135
EXTL2	-0.08
EXTL3	0.575
NPAT	0.36
TMEM160	-1.29
TMEM165	-0.905
TMEM164	-0.45
TMEM167A	-1.92
TMEM168	-0.615
C12orf10	0.145
TUBA4A	-0.46
TBC1D1	1.855
TBC1D4	0.1
TBC1D5	-0.35
TBC1D7	-1.545
HNRNPDL	3.145
SDCCAG8	0.04
	-0.85
	-1.35
ITGAV	0.065
C18orf32	0.24
IBTK	-3.3
GTF2E1	0.185
GTF2E2	0.755
EIF4E2	1.665
AKIRIN2	0.96
AKIRIN1	-0.81
AP3M1	1.35
AP3M2	-0.45
LIMD2	0.205
LIMD1	-0.43
RALGDS	-0.19
ACSF2	-0.43
ACSF3	-0.005
ITGA4	-2.52
ITGA6	-3.11
SLC4A8	-0.31
ZNF865	0.41
	-0.23
AIG1	0.4
CDK13	-0.515
POLE3	-0.805
	-2.73
ZNF91	-0.61
C14orf119	-0.725
TPCN1	1.77
TPCN2	1.055
SNRPB2	1.145
GLTP	1.49
CALR	-0.285
M6PR	0.12
NDUFS1	0.8
NEUROD4	-0.41
ZNF12	-0.27
EBF1	1.06
R3HCC1L	-0.33
SECISBP2	0.325
CACNA1I	-0.43
CTDSPL2	-0.095
CACNA1A	0.12
IMPAD1	1.03
CMC1	0.58
CMC2	1.165
GCSH	-1.55
RASAL2	1.06
ABI1	-0.895
XRN1	-0.35
XRN2	0.045
ARHGAP4	-0.82
ARHGAP5	0.385
POT1	-1.255
ARHGAP1	0.39
AP5Z1	-1.15
DYNLRB1	0.72
RPUSD4	2.01
COL11A2	0.26
FCRLA	2.505
TIPARP	0.81
DYNC1LI1	-1.12
DYNC1LI2	-0.12
	0.5
DAXX	0.68
ATIC	0.85
UTP3	2.135
MTCH2	0.04
MTCH1	1.44
LRIF1	0.17
ANKRD27	-0.665
ANKRD26	-0.515
	1.12
CNOT8	-0.305
TIAL1	-0.175
CNOT3	-0.445
CNOT2	2.63
CNOT1	-0.215
CNOT7	1.46
CNOT6	0.665
ANKRD28	0.08
SARS2	-1.115
IFT172	-3.03
UVRAG	0.435
RNF123	-1.365
RNF103	-1.24
NFIC	-0.04
NFIB	0.355
LGR6	2.075
TTF2	0.825
	0.44
TTYH2	1.07
TTYH3	-0.4
GRASP	-1.15
HLTF	0.025
NFIX	0.125
FBXL20	-2.7
TNFRSF13C	3.795
ZNF292	-1.015
IGSF8	-1.86
ZNF296	-1.81
CSNK1D	0.41
CSNK1E	1.69
ALDH16A1	0.565
C7orf26	1.44
COPRS	0.625
	-1.655
	-1.005
SYNRG	0.645
PKIG	-0.2
U2SURP	1.78
RPL14	-0.15
RPL18	1.865
OGFOD1	-0.315
OGFOD3	1.355
OGFOD2	-0.775
LYRM4	0.675
LNPEP	1.345
CLTA	0.39
LYRM9	0.63
KLF13	-1.1
GSS	-0.185
GSR	-0.75
CLTC	1.505
KLF12	-0.49
GSN	-0.27
CD300A	-1.39
HK2	-0.27
HK1	0.68
MOB3B	-1.29
MOB3A	-2.52
SOD2	0.095
SOD1	-0.935
GBP4	0.14
LSG1	-0.745
	-3.4
PMS1	0.58
PMS2	0.115
COX7A2L	-0.88
GNAS	0.625
CSTF2T	0.855
IVNS1ABP	0.005
NAGLU	1.87
TMED10	-1.07
DMXL2	-1.975
BCL2L14	-0.755
DMXL1	1.22
BCL2L11	-2.64
BCL2L13	-1.05
BCL2L12	0.825
NFATC2IP	0.305
EED	1.23
TPRN	0.34
MCU	-0.02
C7orf50	0.115
	-0.91
NAPA	1.86
CLYBL	-0.155
ID3	1.6
PGM1	-1.355
PGM3	0.585
C6orf62	-1.78
CHAF1A	-0.255
CHAF1B	-0.11
RMND5A	-1.235
HMG20B	0.685
RRNAD1	-1.38
TPD52	1.18
NIPA2	0.105
CHTF18	-1.825
QPCTL	-0.54
TRUB1	1.135
TRUB2	-0.91
IDS	0.42
ZNF507	-1.295
	-1.145
AMMECR1	0.56
	-3.04
IDE	-3.06
	-0.185
PXK	-1.88
HPS6	0.71
PXN	0.4
ACY1	1.02
QRSL1	0.46
LYL1	1.29
FAM149B1	-0.75
HS1BP3	0.29
MED30	0.985
MANEA	0.44
SPRYD3	0.6
SPRYD4	-2.52
NF2	0.17
NF1	-0.35
SPRYD7	-1.99
	0.425
AQR	-0.685
NSMCE2	2.09
	-0.185
EPS15	-2.415
PTPRS	-0.155
PTPRR	-3.59
TAZ	-0.785
POLR1C	0.335
PTPRC	1.61
PTPRA	-0.88
AACS	-1.1
PTPRJ	2.685
RASA2	0.3
RASA3	-0.225
PPHLN1	0.715
	-0.47
KIF16B	-1.0
DHODH	-0.56
HLA-DRB5	-0.67
	0.105
	-0.91
FAM172A	0.9
MAP3K8	-1.61
MAP3K2	0.375
MAP3K3	1.0
LRRC14	-1.305
MAP3K1	-1.895
	0.365
MAP3K4	0.875
MAP3K5	-2.0
LTB	0.565
LTA	0.95
ABCA5	-0.675
ABCA2	-0.025
ABCA3	1.705
ABCA1	-2.33
CHAMP1	-1.715
FAM32A	0.2
ZBTB1	0.875
PDCL3	-0.525
ZBTB5	-1.225
	1.99
RPF2	1.695
RFX7	-1.01
RFX1	-0.255
RFX2	-0.49
RFX3	0.295
TMEM109	0.1
FKTN	0.35
TMEM102	0.63
TMEM101	2.125
MYD88	0.82
BORA	-0.355
TMEM104	-0.41
ASPSCR1	0.33
IFT52	0.885
IFT57	-0.26
NKTR	0.025
ETV3	0.555
ETV5	0.56
LRRK2	-0.56
ETV6	-0.305
SH3BP5	-0.13
POP1	1.37
POP7	-0.745
SH3BP1	0.87
POP5	0.165
POP4	1.185
EIF4G3	0.165
EIF4G2	0.32
EIF4G1	1.14
GDE1	1.565
TCEANC	0.12
C5orf63	0.545
GLUL	0.36
APEX2	1.37
AKAP12	0.14
AKAP13	-1.155
AKAP10	0.325
AKAP11	-0.085
	-0.85
TMC6	1.135
TMC8	0.465
SNAP47	0.35
C6orf47	0.56
ANXA11	-0.37
ANXA10	-1.175
EFHD2	-1.835
MLF2	-0.375
COX4I2	-2.515
NTAN1	1.36
HERC1	-2.98
HERC3	0.265
HERC2	-2.645
HERC4	0.33
HERC6	-0.085
RAB8B	-1.055
RAB8A	0.515
ZCCHC17	-0.21
PCID2	0.12
ZFYVE9	-1.51
ZBED3	-1.305
ALKBH7	1.95
ZFYVE1	0.275
DNAJA2	-0.415
DNAJA3	-0.935
DNAJA1	1.065
PSMA3	-0.25
	-0.35
WDR26	0.695
WDR24	0.105
WDR25	-0.49
WDR20	-1.975
PSMA7	0.865
ACER3	0.78
APOE	1.95
SMIM7	-0.635
PDE6D	0.635
RAD21	0.355
SMIM8	1.16
ESF1	-0.235
RECQL	-0.675
	-1.425
LACTB2	1.355
AGBL1	1.52
CRYL1	1.76
	-0.775
ZFP36	1.4
STARD9	-0.265
SRP14	-0.635
STARD3	-0.67
SRP19	-0.385
STARD7	0.34
STARD4	1.265
STARD5	-4.125
ANTXR2	-0.345
PDIK1L	1.08
CDK5RAP2	-0.58
CDK5RAP3	-0.4
CDK5RAP1	-1.435
PBX2	1.555
FAM126A	-0.6
ACAA1	1.1
DOCK9	0.355
DOCK2	-1.125
DOCK3	-0.12
DOCK6	0.17
PIK3C2A	0.68
DOCK5	-1.605
LPCAT4	-0.555
LPCAT3	-0.37
LPCAT1	-1.685
ZKSCAN5	-1.12
ASB13	-0.265
DLD	0.395
RSL24D1	-0.755
MOB2	0.77
RNF25	-0.245
RNF20	-0.11
HSD17B12	0.48
ZNF317	-0.915
HSD17B10	-1.435
FOXK2	-0.525
HSD17B14	0.49
PHLDA1	-0.49
ZNF318	-1.39
ZNF319	-0.28
PRR14L	0.19
RNF128	0.44
RNF126	-0.075
	0.9
