UBE2Q1	-1.73
RNF14	-1.46
UBE2Q2	-0.67
RNF10	-2.99
RNF11	-0.22
RNF13	-0.15
	-1.72
	-1.74
	1.44
MZT2A	0.34
	0.65
CHMP1B	-1.99
PMM2	1.13
PMM1	1.77
ASS1	1.62
	-0.23
	0.72
	0.41
ZNF879	-2.47
NID2	-0.55
ZNF703	0.27
	2.59
	2.16
ZNF706	0.35
ZNF704	-0.62
ZC3H10	-0.13
	0.68
RNF115	1.74
RNF112	-0.23
RNF111	-0.82
	-0.26
ZC3H18	-1.12
SP8	2.38
DHX9	-0.92
	1.78
TCOF1	1.64
NSRP1	1.74
NUP98	0.89
SP1	0.46
GRINA	0.52
SP3	-0.23
NUP93	-0.33
HAP1	2.07
SP7	0.51
SPPL3	-2.09
GOLIM4	-2.28
OPA3	1.01
RAB40C	0.18
RAB40B	2.12
	1.37
COL7A1	-0.51
	-0.07
GTSE1	0.86
	0.7
SPPL2A	-0.44
SPPL2B	2.01
ITGA8	-1.03
ITGA9	-1.11
UGCG	-1.22
ATP2A1	-1.5
ATP2A3	-0.06
ITGA1	-0.69
ITGA2	0.88
ITGA3	0.46
ITGA4	-0.71
ITGA5	0.09
ITGA6	-1.11
ITGA7	0.46
DENND4A	-2.07
DENND4B	-1.89
SWAP70	0.9
UFSP1	-0.35
PHLDA2	3.73
	-0.1
GAP43	-1.37
PAMR1	2.32
	0.12
FBXL12	1.41
TIPRL	0.39
FBXL14	-0.94
FBXL17	0.05
FBXL16	0.3
FBXL19	-2.06
FBXL18	-0.24
RALGAPA2	0.37
GHDC	-0.13
SDK1	0.76
SDK2	-4.04
	0.56
TPRN	2.5
THSD4	-0.44
FAM212B	-1.89
THSD1	0.8
CHST9	-0.51
CHST8	-2.17
COL4A5	-1.7
	0.44
COL4A3	0.71
COL4A2	-0.69
COL4A1	0.4
GRN	1.27
CHST3	-2.14
CHST7	0.55
HLX	-0.53
ITGAV	-1.08
	-1.69
CAMK1	0.63
NOV	1.47
ITGAE	1.51
SMAD9	0.95
TRERF1	-2.76
LRPAP1	1.9
SMAD5	-2.41
SMAD7	-2.03
GOLPH3L	-1.08
SMAD1	-0.39
SMAD2	-1.24
SMAD3	-2.03
MUS81	1.14
	-0.42
AMMECR1L	-1.72
	-1.65
	-1.03
IGF2R	1.26
ABHD14B	2.22
	0.32
SLC36A4	-2.24
CKS1B	-0.36
SLC36A1	-1.9
	0.75
ERICH5	0.62
ERICH1	0.38
C14orf119	-1.76
	-1.4
	1.02
	0.48
HAUS7	1.55
ADRM1	-0.02
TCEA2	1.13
TCEA3	-0.1
	1.9
COX4I1	0.82
BFAR	-1.5
	-1.12
ABCD2	0.51
	0.64
MPRIP	-1.36
CADPS2	-0.78
RLF	-0.14
CCDC112	0.81
MCF2L	-0.45
CCDC110	-1.25
LEO1	0.39
MTCL1	0.23
ATP1A4	-0.77
ATP1A3	0.28
ATP1A2	-0.18
ATP1A1	-1.52
	2.92
	1.19
MGRN1	1.1
TCP1	-0.25
CRTAP	-1.33
SPHK2	1.61
SPHK1	-0.34
	-0.36
IPO11	-1.72
CUEDC2	-2.33
SP9	2.75
CPEB4	-4.05
CPEB1	-0.76
CPEB3	-0.22
CPEB2	0.41
	-0.86
SRBD1	-0.18
ABAT	-0.87
	1.6
ZNF780B	1.2
	2.14
	-0.86
IFT80	-0.45
	1.43
	-0.23
IFT88	1.12
SP2	0.58
	1.24
KISS1R	-0.59
MCM10	0.27
	0.84
SP4	-1.69
IL10RB	-0.16
ATG4C	-1.12
ATG4B	1.33
ATG4A	-3.1
CAMKV	-0.22
	3.11
CFI	1.38
PNP	-3.08
CFD	3.81
	1.29
PNN	0.33
ATP6V0E1	1.55
NFIL3	-2.31
	4.09
	0.15
AAAS	-0.41
	1.37
	1.07
SIDT2	-0.39
SIX4	-0.52
SIX5	-0.68
	1.45
MR1	-0.37
SIX2	-1.29
SIX3	-0.11
	-0.23
	-0.23
CNPY4	0.48
CNPY3	-0.58
CNPY2	-0.33
CNPY1	0.32
	-0.63
SYNJ1	-0.82
KNDC1	-0.99
HMG20A	-0.9
HMG20B	-0.21
GLT8D2	-3.7
AAGAB	0.66
SCYL2	-2.51
SYNJ2	0.37
C3orf70	-0.48
SHOX2	-1.88
ZFP82	-0.07
CHFR	0.54
SYPL1	1.5
	0.31
	0.93
SYPL2	-0.35
ZCCHC12	-3.93
	-2.03
RFX6	0.81
RFX7	-1.14
	-3.38
RFX1	0.33
RFX2	-0.45
RFX3	2.35
YDJC	2.47
IBA57	1.48
APC	1.28
TMEM179B	2.06
ETV3L	-0.77
UQCRC2	0.91
XPNPEP1	-0.09
	-2.78
	1.45
GGCX	1.03
PAPLN	-0.08
ADNP	-1.99
	-0.1
	0.13
	1.9
	-0.75
STXBP6	-1.47
	-1.74
GGCT	1.38
FLT4	0.52
	-0.92
	1.04
	-0.27
	0.08
	1.04
C11orf1	1.53
DPYSL5	-1.87
	2.16
DPYSL3	-1.42
	1.61
	-0.73
IGFBP2	1.02
	1.86
IGFBP6	1.45
IGFBP7	-0.63
IGFBP5	-2.64
CYP2R1	-2.83
CKLF	-0.62
HNRNPA1L2	2.23
	1.78
GJA1	-1.67
GJA3	1.42
GJA4	0.63
	1.01
	1.96
	0.0
	1.61
KDM3B	0.41
	0.63
KDM3A	-0.79
ZNF112	0.09
SEZ6L	1.21
NSL1	0.03
TMC6	1.44
H1FX	0.42
APIP	0.17
VKORC1	0.62
EIF2B4	1.09
EIF2B2	0.17
	0.63
EIF2B1	-0.8
PRKAR2B	-0.85
MAGT1	-0.62
TXNIP	-0.63
MLF1	-0.09
	1.93
IFT140	0.12
TMEM14C	-0.72
TMEM14A	0.27
FANCF	1.59
MECOM	-2.28
ITGA2B	1.01
FANCE	-1.51
	1.96
	1.37
CLIC6	-1.4
PHACTR4	-0.44
CLIC4	-3.18
NOP2	0.01
PHACTR1	1.1
NLGN3	0.83
LRSAM1	-0.75
NLGN1	-0.75
	-0.01
TMEM147	0.55
ASGR1	1.45
TMEM145	-0.36
TMEM144	-1.31
RIT1	-1.1
	-0.71
RTKN2	0.32
SOWAHA	0.5
SECISBP2L	-1.76
	0.29
	1.45
	0.83
FAM32A	-0.15
	0.63
VMP1	-3.14
	1.21
ZMAT3	-0.9
ZMAT2	1.21
	1.35
C19orf24	3.64
	0.01
MYBL1	-1.92
NR1D1	-1.0
SMOC1	-0.44
MYBL2	0.0
	-1.57
	0.92
ZNF7	0.0
ZNF2	-0.84
ZNF3	-1.77
TIPIN	-1.16
PHLDA1	-0.17
RNF182	-1.94
ZNF8	1.94
TEP1	1.91
	-1.99
	-0.71
SYNDIG1	-0.23
HNRNPA0	-1.81
OGFR	1.02
EPM2AIP1	1.48
CDC5L	-0.37
	-0.73
RAC3	3.38
RAC1	-0.03
SBDS	0.46
VCL	1.49
CPLX2	-1.37
CPLX1	0.32
AP2A1	1.54
AP2A2	1.27
PBX4	1.22
FIGNL1	-1.03
PBX2	-0.22
PBX1	-2.59
TMOD2	0.95
NSUN3	0.5
NSUN6	-0.63
TUBG1	0.57
TUBG2	0.92
	1.25
PTCH2	0.52
PTCH1	0.09
TIMM44	1.23
PAGR1	0.44
	-1.03
	-0.22
RAD9A	0.72
	-1.06
ERGIC3	0.66
CDR2L	0.52
ERGIC1	2.88
	-0.13
	2.78
	1.27
B3GAT2	1.06
	0.64
CPPED1	2.78
	0.83
	-2.66
	-1.23
SPG21	-1.47
	-1.18
	-1.16
	-2.86
DLGAP3	-0.19
	-0.12
DLGAP4	-0.99
DLGAP5	-0.72
BRDT	-3.61
SOBP	-0.47
MBNL2	-1.88
	2.93
CYP27B1	-0.9
CDX2	-1.36
OIP5	1.07
CLCN3	-2.18
CLCN2	0.8
CLCN7	2.05
CLCN5	-2.32
	1.36
	0.95
BRD8	1.36
KSR1	-0.8
	-0.65
BRD7	1.54
KSR2	-0.19
BRD3	-2.46
DNAJA2	1.12
DNAJA3	2.2
PTPN18	1.83
PTPN13	-3.89
PTPN12	-3.04
PTPN11	-3.34
LRFN1	0.54
PTPN14	-0.74
GALR2	0.83
UTRN	-0.87
LYAR	-2.67
C16orf74	1.82
MRPL24	-1.73
	2.65
DMD	1.24
MRPL20	2.23
SEH1L	0.3
MRPL22	0.68
LRFN4	0.98
GAB2	0.32
MRPL28	2.17
	-0.22
	1.93
	3.28
	1.18
	-0.3
NPTX1	-0.74
	0.87
NDRG1	0.98
NDRG2	-2.39
NDRG3	-0.87
	-0.75
ZSCAN2	-0.98
	-1.56
SRSF4	1.73
SRSF7	0.08
SRSF3	-3.35
TRAPPC6A	2.44
SRSF9	1.1
CDK2	-1.5
RNF130	0.95
DNAJB12	1.52
DNAJB11	-2.1
	-1.03
HLA-DQB1	1.92
RNF135	2.26
	2.09
RNF139	-0.76
	0.13
GID4	1.44
CISD3	4.6
CISD1	-0.12
CLNS1A	0.47
	-0.3
	0.56
TSHZ2	-2.76
CSPG4	2.1
TSHZ1	-3.13
GID8	-1.33
NOSIP	0.41
	1.22
	0.9
ZNF580	0.66
ZNF583	-0.05
	-1.16
TIPARP	-0.5
	1.13
	-0.12
	1.82
	2.16
	2.33
NIP7	-0.46
	2.45
	0.83
BCL9L	-1.84
COL4A6	1.61
ZSWIM7	0.92
CAMKK2	-1.56
CAMKK1	1.17
COL4A4	0.08
	1.37
NPTXR	2.55
SLC20A2	-2.94
	-0.01
MYO1E	-1.65
MYO1D	-4.41
MYO1C	0.14
MYO1B	-2.39
MTFP1	0.02
	-0.19
RPL36AL	0.76
CHMP7	0.03
CHMP6	1.56
CHMP5	0.95
	3.09
PGBD5	-0.07
	0.62
CTPS2	-1.23
NDC80	0.81
LGALSL	1.22
	1.39
HOXA13	1.93
HOXA11	0.65
HOXA10	1.5
	3.84
WIPF3	-2.77
FAM160B1	-0.7
	2.73
ATAT1	0.05
ZNF324	1.1
NEMF	1.07
ZNF326	0.5
SRF	0.02
ZNF322	-3.17
SRI	1.08
ZNF329	2.41
	1.22
SRR	-0.26
LGALS8	-0.19
SF3B3	-0.38
LGALS3	1.24
LGALS1	1.0
	1.38
NMU	-2.3
AKIRIN2	-2.82
AKIRIN1	0.52
EIF2AK1	-0.34
EIF2AK3	-0.12
EIF2AK2	-0.97
TDG	-2.36
	2.36
WIPF1	-0.91
NMB	1.72
MYO19	-1.98
AVPI1	-1.59
TRNT1	0.68
ASAP1	-0.96
ASAP2	-0.48
NMI	-1.73
	1.93
	1.86
	1.02
ATG101	-2.37
PLAUR	0.45
	-1.03
	1.69
LRRC26	1.86
SLCO1B3	1.9
LRRC24	1.35
KIAA1522	1.79
	-0.22
LOX	0.25
LPGAT1	-1.01
	4.68
TIMM17B	-0.38
TIMM17A	-1.65
