PLEKHG2	-3.335
PLEKHG3	-0.875
CERS4	0.735
CERS5	1.76
PLEKHG6	0.335
PLEKHG4	-0.315
PLEKHG5	-1.02
NSA2	-0.285
	0.63
ZNF846	0.92
NAMPT	-0.3
ERI3	-0.6
NDC1	2.67
BCKDK	-1.92
KIAA0355	0.495
UBE2D1	0.785
SHANK2	4.48
	0.03
SYT8	2.09
CNOT11	-1.0
MIER1	0.17
MIER2	0.635
MIER3	-0.415
ATXN7L2	1.325
TOM1	1.465
CNPPD1	-0.625
AQP11	-0.68
	0.44
	2.615
INVS	-2.435
RABIF	-1.62
	-0.38
	1.25
DAG1	-0.045
MYADM	-1.545
	1.42
NAF1	2.005
CEBPB	-1.625
CEBPA	-4.44
ACVR1	1.95
CEBPE	-1.46
CEBPD	-1.565
	-0.395
	0.84
	0.25
ERICH1	0.735
	2.39
GOPC	0.095
CEBPZ	1.565
ZNF726	-0.685
ZNF710	-0.49
RBM8A	-0.38
ZNF175	0.21
MLLT4	1.7
EDRF1	0.09
MLLT6	-0.05
	-0.695
	-0.28
MLLT1	-0.11
MLLT3	-3.295
	1.11
	0.16
	-1.535
RTF1	-1.14
	-0.035
	-0.64
NOSIP	-1.15
BTG3	0.795
BTG2	-2.52
BTG1	2.84
C12orf43	-0.125
UPRT	-0.59
ZSWIM4	1.735
ZSWIM5	0.445
PIF1	2.085
ZSWIM7	-1.21
NUPL1	0.57
NUPL2	-1.075
ZSWIM3	0.525
NDRG1	0.285
NDRG2	2.94
NDRG3	0.98
	-1.125
NPAT	0.595
TTC30A	-0.905
	-13.13
	-0.06
HM13	1.44
GGA1	-0.53
GGA3	0.305
GGA2	-2.325
	-2.11
SORBS1	-2.54
SORBS3	1.205
SORBS2	4.665
ZSCAN12	0.695
LINGO1	-3.11
PER2	-1.105
TSHZ2	0.61
TSHZ3	-3.105
TSHZ1	-2.41
INHBA	2.41
INHBB	2.895
	-0.135
	-0.445
HINT3	-0.83
MPLKIP	-0.47
	-0.79
IL17D	1.3
LRIF1	1.365
	-0.095
	0.705
	-0.56
FAM151B	-0.6
ARHGEF28	-1.12
	0.78
RUNX1T1	-2.97
FAM104A	-1.055
KIAA0368	-0.585
TRNT1	0.83
ITM2B	-0.335
PORCN	0.69
TEX9	1.005
KCNC2	0.1
UBQLN2	1.44
RALGPS2	-1.61
RALGPS1	-0.215
B3GNTL1	-0.685
MKL1	0.15
MKL2	-0.78
TEX2	1.22
RDX	-0.03
LTA4H	0.7
LMNA	-3.205
ITM2A	0.65
	1.325
SORCS2	-0.47
SUPT16H	1.755
CMAS	0.515
UBFD1	-0.885
FKBP15	-2.715
MCL1	-1.48
PTTG1	-2.725
C14orf28	-0.68
TSSK6	-0.015
