PLEKHG2	0.58
PLEKHG3	-1.83
CERS4	1.14
PLEKHG1	1.8
PLEKHG6	-0.8
GPR55	-1.575
PLEKHG4	0.9
PLEKHG5	-2.305
NSA2	-0.36
	1.495
ZNF846	0.805
NAMPT	-4.485
ERI3	0.415
	-0.11
VMO1	0.31
NDC1	-1.07
	-1.14
	0.6
KIAA0355	-1.365
	0.12
UBE2D1	-0.44
SHANK3	-0.4
	0.265
	2.42
	-1.605
SYT9	0.78
SOX8	1.74
CNOT11	-1.18
CAMKK2	0.115
MIER1	-1.215
MIER2	1.29
MIER3	0.085
SYT6	0.74
SYT7	0.15
	-1.22
	0.38
	-1.02
HCCS	0.13
TOM1	0.705
	1.15
CNPPD1	0.755
AQP11	-1.415
	1.93
C17orf58	-0.63
	0.09
	-0.115
CST3	1.52
PMVK	4.195
	-0.55
CA8	2.765
	-3.505
BAIAP3	0.74
TUBAL3	-1.1
DAG1	0.945
	0.66
MYADM	-0.055
IRF1	0.295
	0.165
	-0.305
	0.305
NAF1	0.89
CEBPB	-1.595
CEBPA	-0.405
ACVR1	0.47
CEBPE	1.74
CEBPD	-0.995
	-0.97
	-0.73
	0.93
	-2.495
ACSS3	0.45
SDF2L1	1.91
ERICH1	0.895
	-1.485
	1.42
GOPC	-1.07
CEBPZ	-2.275
ZNF726	0.46
ZNF710	-0.03
HFE2	1.725
	-1.39
	-0.14
ZNF175	0.695
MLLT4	1.085
EDRF1	-1.39
MLLT6	-1.295
	-0.285
	-1.455
MLLT1	-0.875
MLLT3	-1.405
	-2.13
RGS10	1.72
	-1.81
	1.155
	-0.04
	-0.585
	-1.59
	2.125
	1.9
FBXL14	0.605
	-0.32
CRTC1	-0.745
NOSIP	1.15
C11orf54	0.61
BTG3	-1.97
BTG2	4.38
BTG1	3.795
	-0.13
LRGUK	-0.745
	0.81
UPRT	-1.03
SHANK2	0.77
ZSWIM4	1.58
ZSWIM5	-1.41
PIF1	-0.455
RTN4IP1	0.895
AIG1	-0.06
NUPL1	0.035
NUPL2	-0.17
ZSWIM3	-0.63
NDRG1	4.195
NDRG2	-0.365
NDRG3	-0.87
	0.68
NPAT	-0.235
TTC30A	0.44
	0.74
	2.225
	1.33
ELMO3	1.505
HM13	0.26
GGA1	0.725
GGA3	-0.03
GGA2	-0.585
	-1.125
SCRN2	-0.215
SORBS1	0.6
ADAMDEC1	-0.51
SORBS3	0.595
SORBS2	0.64
	-1.185
TBX2	-0.2
LINGO4	3.245
LINGO2	-0.19
LINGO1	0.31
PER2	-2.765
TSHZ2	-0.42
TSHZ3	-2.615
TSHZ1	-0.465
MAP1A	-0.18
INHBA	1.125
INHBB	-0.505
INHBC	-0.195
INHBE	-2.71
SYT1	0.27
ZBTB43	-0.88
	0.12
HINT3	0.555
SYT2	-0.975
ITM2C	1.875
LRIF1	-0.495
SYT3	1.02
	-1.29
	1.15
KCTD19	-1.33
	-0.735
	-0.175
	-1.39
	-0.81
FAM151B	0.905
ARHGEF28	-0.865
HSF2	0.03
RUNX1T1	-0.495
FAM104A	0.47
ZBTB44	0.1
	0.78
KIAA0368	0.795
TRNT1	-0.52
ITM2B	0.015
ARHGEF26	-4.775
PORCN	0.59
MOCS3	-1.0
TEX9	0.8
KCNC1	0.95
KCNC3	0.91
RALGPS2	-0.415
	0.45
	-0.305
RALGPS1	0.12
B3GNTL1	-0.61
MKL1	-0.435
MKL2	0.85
TEX2	0.575
CTRB2	-1.6
RDX	0.29
KRT77	-0.37
LTA4H	0.805
LMNA	0.375
ITM2A	0.305
	0.74
OR2F2	0.075
SLC30A10	2.08
SORCS2	-1.375
SUPT16H	0.47
	1.82
	-1.42
CMAS	0.06
UBFD1	-2.9
SCG2	0.21
FKBP15	1.065
ACADM	-1.54
MCL1	-1.25
PTTG1	2.065
	0.905
	0.58
	0.9
	1.255
PREPL	0.71
GRIA2	-1.64
GRIA3	2.32
	-1.355
GPR183	-0.16
SDR9C7	2.895
GRIA4	1.025
KRT71	0.005
SUPT6H	-0.82
SASS6	0.135
L1CAM	-0.5
SLC27A5	-0.155
SLC27A4	0.89
SLC27A6	0.15
SLC27A1	-0.41
	-0.425
SLC27A3	-0.69
SLC27A2	-2.23
IMP3	-0.6
HMGXB3	-1.625
HMGXB4	0.825
LRRK1	-0.4
LRRK2	1.715
THEM6	-1.86
CDHR1	-0.13
CDHR2	-0.7
CDHR5	-1.605
ZBTB48	1.225
	-2.085
DBN1	-0.01
	-0.44
	-1.04
C1orf168	0.17
RGS19	-0.525
TRIM39	-0.475
TCOF1	-0.415
USH2A	-0.9
TRIM33	0.295
TRIM32	-0.21
	0.13
TRIM37	1.005
TRIM36	-0.245
TRIM35	0.905
FOXO3	-1.255
UBE3B	-0.425
FOXO1	-0.555
DLAT	0.26
NBR1	-1.69
FOXO6	1.06
FOXO4	0.125
	-1.04
	0.715
	1.95
THAP11	0.13
BTAF1	-2.045
	-0.205
WSB1	1.89
	0.33
UBE3A	-0.21
DBNL	-0.155
	0.43
	0.025
C19orf43	-0.645
KRT72	-1.1
SUPT3H	1.725
	-1.8
	0.785
FAM114A2	0.585
	0.76
MTFR1	-0.845
ALDOA	-0.92
ALDOC	-1.175
ALDOB	-1.94
	0.94
	-0.82
CASQ2	-3.175
	1.3
	1.89
SLC24A5	-0.84
SLC24A3	-0.44
ZIK1	-0.485
	-0.33
	-0.845
GABRB3	0.04
NSFL1C	1.105
TMEM80	0.725
	-1.85
STX16	0.76
USP8	0.555
SEL1L3	-1.13
	0.19
XPR1	-1.46
TPPP	-0.715
USP1	0.81
USP2	-2.145
USP3	0.315
USP4	-0.32
USP5	-0.1
USP7	0.53
CARD9	1.105
	1.15
RIBC1	1.83
IL1RAP	0.345
SAMSN1	-1.275
NR1D2	-6.275
	-0.68
TPRKB	-2.045
CARD6	-0.63
	0.805
FARS2	-0.425
	-0.505
RPL38	-2.17
RPL39	-0.945
	-3.205
RPL37	-2.37
	-2.475
RPL35	-3.01
	-4.19
RPL31	-4.07
	-2.485
	-0.29
MAF	0.22
FAM13B	-0.375
FAM13C	0.12
	1.75
BCAS2	0.625
BCAS3	-1.225
BCAS1	1.4
	-1.215
	0.42
	-0.7
	0.46
	-0.215
	-1.34
TPP1	-0.5
TPP2	-1.265
RAD50	2.175
TREM1	-0.04
	-1.39
SFMBT1	-0.93
	0.145
ZZEF1	-0.14
	0.295
HIST1H2BD	0.17
C11orf86	-0.9
CEBPG	-1.165
BRF1	0.095
SETX	-0.02
	0.305
SGPP1	1.355
	0.8
MLYCD	0.345
HIST1H4B	0.81
	0.37
	1.25
	-0.12
LDB3	2.31
C1orf109	-0.505
FARSB	0.185
RPL3L	-1.77
UAP1L1	-0.705
	2.795
METTL1	-1.08
TTBK2	-2.04
PURG	-1.86
TTBK1	-0.195
NCOR2	-2.685
NCOR1	-0.235
	-0.56
	0.21
LYSMD3	-0.685
METTL3	-0.25
NKIRAS2	2.025
	0.005
MAGOHB	-0.245
ABHD17B	-3.085
	-0.725
	-1.04
	0.775
PPME1	-0.555
PCOLCE	0.48
FLNA	0.37
FLNB	-2.04
FLNC	-0.965
GLTPD2	0.41
GDAP2	-0.14
	-2.77
CEP164	-0.265
TOLLIP	-1.105
	-0.165
ANKRD55	-0.13
	1.025
FGR	-0.165
	-2.56
MED29	0.86
APAF1	-0.07
	-1.15
LRRIQ1	1.02
	-0.14
LRRIQ3	0.985
	1.97
FGA	0.34
FGB	0.36
	-0.615
CNNM1	-3.645
TGM1	-1.53
CNNM3	0.585
CNNM2	0.61
	-0.36
	0.565
TGM6	-0.415
	1.82
TINF2	-1.565
	0.115
MITF	1.03
	0.315
ZNF408	0.66
	-1.655
EGF	-5.19
	0.01
SLC4A10	1.5
ROCK2	-1.04
	0.695
	-2.925
	0.54
	0.845
