UBE2Q1	2.25
RNF14	-0.63
UBE2Q2	2.32
RNF10	0.91
RNF13	1.05
	0.3
	0.23
	0.2
MVB12B	-0.04
MZT2A	1.37
	2.01
ATRX	-1.97
PMM2	-0.22
PMM1	-0.49
ASS1	0.38
	3.29
MVB12A	1.42
ZNF879	0.52
ATRIP	0.03
ZNF703	0.32
STYXL1	0.98
SPR	0.13
	-2.21
ZNF707	-1.52
ZNF706	-0.96
ZC3H10	-2.7
	-1.62
RNF115	-1.09
	-0.8
ZC3H14	-1.45
RNF111	-2.41
	0.33
ZC3H18	-1.84
DHX8	-2.79
DHX9	-1.2
TCOF1	-2.87
NSRP1	-1.33
NUP98	-3.13
XPC	-1.88
SP1	-2.5
GRINA	0.44
SP3	-2.12
NUP93	-0.95
SPPL3	1.43
GOLIM4	0.62
OPA3	-0.9
OPA1	-0.61
	-1.57
RAB40C	-1.65
RAB40B	1.86
	1.84
COL7A1	-0.77
	-0.93
GTSE1	0.99
B2M	0.88
	0.42
	1.86
RPRD2	-2.57
SPPL2A	-1.9
	-3.14
SPPL2B	0.29
ITGA8	-0.25
UGCG	-1.72
ATP2A1	0.19
ATP2A2	-1.56
ATP2A3	0.0
	-0.42
ITGA1	-0.48
ITGA2	-1.7
ITGA3	-1.61
ITGA5	-0.54
ITGA6	-0.7
ITGA7	-0.35
DENND4A	-0.98
DENND4B	-0.33
DENND4C	-0.58
SWAP70	-1.08
RARRES1	-1.08
PHLDA1	-2.84
PHLDA3	-0.56
UFSP2	0.18
	0.66
FBXL12	2.14
TIPRL	-0.68
CYP27B1	0.66
FBXL17	1.74
HRH1	-1.17
FBXL19	-2.46
FBXL18	-1.8
RALGAPA2	-3.51
GHDC	1.48
	-0.24
SDK2	1.09
	-0.16
TPRN	-2.72
THSD4	1.12
SZRD1	-0.91
ABHD14A	0.74
THSD1	-0.87
COL4A6	1.46
COL4A5	1.83
	-1.28
COL4A3	-0.34
COL4A2	-1.12
COL4A1	-0.94
SLC35D2	0.24
GRN	0.11
CHST3	-1.46
GCLM	-1.05
CHST7	-0.46
ITGAX	-0.82
	1.47
	1.91
HLCS	1.24
ITGAV	-0.55
	2.93
CAMK1	-0.06
ITGAM	1.61
NOV	0.29
ITGAE	1.74
	0.42
	1.09
	0.47
TRERF1	1.47
LRPAP1	-1.16
SMAD5	-2.21
SMAD6	-0.1
SMAD7	0.65
GOLPH3L	0.54
SMAD1	2.19
SMAD2	0.55
SMAD3	-2.74
MUS81	-1.14
AMMECR1L	-0.06
	1.26
	2.18
NECAP1	-2.51
IGF2R	-1.23
	1.47
HRH2	0.66
ABHD14B	0.47
	0.56
SLC36A4	0.1
CKS1B	1.26
SLC36A1	0.71
	-0.35
	0.56
	-0.71
ERICH1	-2.41
C14orf119	0.25
	0.56
	-1.48
	-1.61
	-0.63
HAUS7	-0.64
DRAP1	0.19
	7.22
TCEA1	-1.42
ABCD1	1.29
COX4I1	1.25
	1.39
BFAR	-0.96
	0.93
	-0.06
MPRIP	-1.89
CADPS2	0.47
RLF	0.57
CCDC112	0.14
CCDC113	2.0
RAB3A	0.65
LEO1	-2.36
MTCL1	-1.17
ATP1A4	-1.4
ATP1A3	-0.05
ATP1A2	1.55
ATP1A1	-0.58
	0.29
	1.89
MGRN1	0.44
TCP1	-0.03
	-0.82
CRTAP	-0.03
SPHK2	1.8
SPHK1	-1.72
	1.04
