PLEKHG2	0.43
PLEKHG3	1.51
CERS4	-0.82
PLEKHG1	-0.71
HSPBAP1	0.69
PLEKHG4	1.01
PLEKHG5	1.89
NSA2	-1.02
ZNF846	0.46
NAMPT	-0.56
ERI3	-0.9
	1.02
CERS5	0.73
	0.57
BCKDK	-0.76
KIAA0355	-0.02
	1.99
SHANK3	-2.58
SHANK2	-3.45
CNOT11	-2.1
	-0.57
MIER1	-0.36
MIER2	0.5
MIER3	1.1
ATXN7L2	-1.53
	0.69
TOM1	-1.56
CNPPD1	1.05
AQP11	-2.28
	1.58
	1.34
PSPN	-1.33
INVS	-1.02
RABIF	0.31
	-0.59
TUBAL3	0.77
DAG1	-0.85
MYADM	-1.76
	2.16
	-0.73
NAF1	-1.23
BPIFB3	4.81
CEBPA	0.16
ACVR1	2.26
IL31RA	4.74
CEBPD	-1.91
	-0.02
	-0.78
ERICH1	-0.5
	-0.91
GOPC	-1.91
CEBPZ	0.66
ZNF726	-0.48
ZNF710	-0.2
RBM8A	-2.87
ZNF175	0.35
MLLT4	-1.78
EDRF1	-0.59
MLLT6	-0.11
	1.22
	1.58
MLLT1	-0.03
MLLT3	-0.58
RGS10	2.09
	1.45
	0.08
RTF1	1.04
	-1.05
	0.57
PRAMEF8	1.43
RASL10A	-0.11
NOSIP	0.06
BTG3	2.41
BTG2	5.09
BTG1	0.59
	-2.79
UPRT	-1.79
ZSWIM4	-1.72
ZSWIM5	0.77
PIF1	-0.49
ZSWIM7	-1.32
NUPL1	-0.09
NUPL2	-0.55
ZSWIM3	2.78
NDRG1	-2.58
NDRG2	2.15
NDRG3	0.23
	-1.04
NPAT	1.65
TTC30A	-0.72
	0.62
HM13	2.75
GGA1	-0.37
GGA3	-1.92
GGA2	1.51
	0.81
SORBS1	-1.41
SORBS3	-1.16
TBX2	0.61
PIK3C3	0.78
LINGO2	-1.0
LINGO1	5.79
TSHZ2	1.23
TSHZ3	3.84
TSHZ1	1.16
INHBA	-0.5
INHBB	-3.3
	2.48
HINT3	-0.99
MPLKIP	-0.75
ITM2C	0.04
LRIF1	0.02
	1.28
	-1.63
FAM151B	-0.15
ARHGEF28	-1.79
CMA1	-0.05
RUNX1T1	-1.88
FAM104A	2.19
KIAA0368	-0.02
TRNT1	0.31
ITM2B	1.78
ARHGEF26	-3.97
PORCN	-1.54
TEX9	-2.08
	-0.78
RALGPS2	-1.31
RALGPS1	-1.55
B3GNTL1	-2.01
MKL1	1.73
MKL2	2.18
TEX2	2.08
LTA4H	0.88
LMNA	-1.03
	3.77
	0.27
SORCS1	1.56
SORCS2	-2.02
SUPT16H	-0.55
FKBP14	-0.93
CMAS	-1.84
UBFD1	-0.27
FKBP15	0.49
ACADM	-2.74
MCL1	-0.87
PTTG1	-1.05
PET100	0.01
TSSK6	-0.2
PREPL	-2.33
GPR180	-1.57
	0.27
SASS6	1.11
SLC27A4	0.55
CEP19	1.54
SLC27A1	4.88
	-0.45
SLC27A3	-0.49
IMP3	-0.88
HMGXB3	-0.13
HMGXB4	-1.3
LRRK1	-1.83
LRRK2	0.51
THEM6	-2.8
ZBTB48	-0.32
DBN1	0.68
	-0.88
TRIM39	-1.55
TCOF1	-0.9
	1.66
USH2A	0.57
TRIM33	-0.6
TRIM32	-0.13
TRIM37	-0.37
TRIM35	-0.38
FOXO3	0.18
FOXO1	-0.43
DLAT	-1.63
FOXO6	0.93
FOXO4	-0.66
	0.19
	0.17
THAP11	0.81
BTAF1	-2.63
	1.5
WSB1	-0.48
DBNL	-0.65
	3.54
KRT72	0.15
FAM114A1	-0.6
FAM114A2	-0.58
MTFR1	-2.15
ALDOA	0.14
ALDOC	-1.13
ALDOB	-0.92
	2.68
	1.23
	-0.86
IL4R	-1.29
SLC24A3	-2.01
ZIK1	-0.21
	0.05
NSFL1C	-1.21
TMEM80	-0.7
LMAN1L	0.49
	-1.07
STX16	-0.09
USP8	-0.17
C12orf57	1.75
	0.68
XPR1	-0.95
USP1	-1.45
USP2	-0.61
USP3	1.92
USP4	-1.37
USP5	-0.2
USP7	-0.51
RIBC1	-0.51
IL1RAP	2.1
MIS12	-0.04
NR1D2	-2.44
TPRKB	-0.11
CARD6	-0.51
	-1.67
FARS2	0.3
	-0.01
RPL38	0.75
RPL39	0.86
	-0.65
RPL37	-0.44
	-0.9
RPL35	2.22
	-0.66
RPL30	1.22
RPL31	0.46
	-2.89
MAF	2.99
FAM13B	0.88
FAM13C	-0.21
BCAS2	-2.28
BCAS3	0.87
BCAS1	-2.19
	-1.31
