PLEKHG2	0.34
PLEKHG3	0.67
CERS4	-0.085
CERS5	2.155
PLEKHG6	-0.14
PLEKHG5	2.01
NSA2	-0.595
ZNF846	1.76
NAMPT	-1.655
ERI3	-1.64
NDC1	0.115
BCKDK	0.355
KIAA0355	0.385
SHANK2	1.68
SHANK1	1.59
CNOT11	1.13
MIER1	-0.405
MIER2	1.335
MIER3	0.29
SYT4	-0.13
SYT6	-0.34
SYT7	0.335
CNPPD1	0.785
AQP11	-0.475
	1.195
INVS	0.24
RABIF	0.24
	0.71
	1.76
DAG1	0.65
MYADM	-1.9
	0.91
NAF1	-0.215
CEBPB	0.87
SLC25A14	1.08
ACVR1	3.22
FCHSD2	-0.49
CEBPD	-0.82
	-0.56
	-0.33
ERICH1	-1.095
	0.095
CEBPZ	-0.7
ZNF710	0.12
RBM8A	-0.22
ZNF175	0.9
MLLT4	-1.115
EDRF1	-1.45
MLLT6	-0.795
	-0.87
MLLT1	-0.165
MLLT3	-0.98
	0.335
	0.03
RTF1	1.375
	0.08
	1.04
PRAMEF8	1.1
NOSIP	2.065
BTG3	-0.37
BTG2	0.58
BTG1	1.72
C12orf43	-0.79
UPRT	1.115
ZSWIM4	0.585
ZSWIM5	0.785
PIF1	1.61
CRTC2	-0.025
NUPL1	-0.42
NUPL2	-1.06
ZSWIM3	-0.83
NDRG2	1.37
NDRG3	-0.765
NDRG4	-0.475
NPAT	-1.635
	0.88
	-0.675
ELMO3	2.13
HM13	0.115
GGA1	-0.565
GGA3	-0.44
GGA2	-1.45
	0.805
SORBS1	-0.12
SORBS3	-1.29
LINGO4	0.83
LINGO1	-0.73
PER2	0.9
TSHZ2	0.325
TSHZ1	2.16
XIAP	-0.455
SYT1	0.73
HINT3	-0.7
MPLKIP	0.045
IL17D	0.83
LRIF1	-1.64
	-0.21
ARHGEF28	-1.305
FAM104A	0.675
KIAA0368	-0.935
TRNT1	0.815
ITM2B	-0.24
TEX9	0.665
KCNC1	0.66
KCNC3	0.14
RALGPS2	2.475
B3GNTL1	-0.31
MKL1	-0.77
MKL2	-1.9
TEX2	0.87
LTA4H	-0.835
LMNA	-0.045
MOCS2	-0.5
ZDBF2	1.42
SUPT16H	-2.105
CMAS	-0.13
UBFD1	1.97
FKBP15	0.52
MCL1	-0.605
PTTG1	-1.105
	0.67
PREPL	-1.6
GRIA2	-0.06
GRIA3	-0.88
SASS6	-2.62
L1CAM	-2.445
SLC27A4	0.415
SLC27A1	1.9
SLC27A3	1.55
IMP3	-0.36
HMGXB3	-0.525
HMGXB4	1.51
LRRK1	-0.18
IMP4	0.45
THEM6	-1.29
ZBTB48	1.295
DBN1	0.63
	-1.26
TRIM39	0.2
TCOF1	0.265
	-0.82
TRIM33	0.025
TRIM32	0.23
TRIM37	-0.465
TRIM36	2.31
TRIM35	-0.77
FOXO3	-1.195
DLAT	-0.52
FOXO6	-0.275
FOXO4	-0.99
	0.42
THAP11	0.69
BTAF1	-0.52
WSB1	-1.22
DBNL	0.89
	1.61
FAM114A1	0.27
FAM114A2	-1.025
MTFR1	-1.455
ALDOA	1.01
ALDOC	0.885
ALDOB	1.26
	-0.11
COPE	0.52
SLC24A2	0.32
VPS11	-0.75
DBT	-0.2
GABRB3	-1.445
NSFL1C	-1.635
	0.66
STX16	-0.95
USP8	0.6
IFITM3	-1.86
	1.71
XPR1	0.695
USP1	0.63
USP3	-0.315
USP4	-0.125
USP5	-2.055
USP7	-2.11
ZNF691	0.24
MIS12	0.84
NR1D2	-0.5
TPRKB	-0.33
CARD6	2.31
	0.78
FARS2	-0.57
RPL38	-0.855
RPL39	-2.045
	-0.215
RPL37	0.675
	-1.2
RPL35	0.855
	0.175
RPL30	0.79
RPL31	-1.045
FAM13B	1.025
FAM13C	-0.435
BCAS2	1.22
BCAS3	0.335
	-2.13
	0.175
	-1.025
	1.405
	-0.53
TPP1	-1.005
TPP2	0.155
RAD50	0.43
SFMBT1	0.105
SFMBT2	-0.64
ZZEF1	0.925
HIST1H2BD	1.265
BRF2	-0.325
CEBPG	-0.13
BRF1	0.845
SETX	0.075
	-0.16
SGPP1	0.315
MLYCD	-1.605
HIST1H4B	0.98
	-1.575
C1orf109	-0.495
FARSB	-1.235
RPL3L	-0.66
UAP1L1	0.23
METTL1	-0.065
TTBK2	0.03
AMMECR1L	-0.945
TTBK1	-0.06
NCOR2	1.975
NCOR1	0.61
	-0.055
LYSMD3	1.46
METTL3	-0.225
PEBP1	-1.005
MAGOHB	-1.14
	-0.365
	-1.885
PPME1	0.02
RBMXL2	0.24
PCOLCE	-2.16
FLNA	-0.545
FLNB	1.515
FLNC	-1.505
	0.065
CEP164	-0.35
	-3.48
APAF1	-1.625
	-0.86
	0.315
	-0.395
	-0.575
	1.52
CNNM3	1.395
CNNM2	-1.92
	0.79
	-0.635
TINF2	-0.7
	0.975
EGF	1.245
SLC4A11	0.66
	0.24
	0.865
	-0.58
	1.72
	0.735
RALY	-0.395
POLD1	-0.87
POLD2	0.33
POLD3	-0.44
POLD4	0.625
	2.61
DUT	-0.395
RALB	-0.395
RALA	0.575
HDAC1	-0.93
HDAC3	-0.895
