PLEKHG2	0.255
CERS6	-1.715
CERS4	-0.985
CERS5	1.53
PLEKHG6	1.96
PLEKHG5	1.095
NSA2	-1.26
NAMPT	-1.675
ERI3	-0.015
NDC1	0.575
BCKDK	-0.51
KIAA0355	-0.565
	0.135
SHANK3	0.795
SHANK1	0.505
CNOT11	0.03
MIER1	-2.065
MIER2	2.475
MIER3	-0.935
SYT4	-0.41
SYT6	-0.685
SYT7	0.965
CNPPD1	0.135
	0.735
INVS	-0.715
RABIF	-0.65
	1.45
DAG1	1.005
MYADM	-0.25
	0.575
NAF1	-0.49
CEBPB	1.935
ACVR1	-0.91
CEBPE	-1.44
CEBPD	0.06
	-0.035
	-1.285
ERICH1	-0.545
	-0.06
ACSS2	-0.38
GOPC	0.28
CEBPZ	-0.635
ZNF710	0.67
ZNF711	0.06
RBM8A	-1.195
ZNF175	1.08
MLLT4	-0.14
EDRF1	-1.01
MLLT6	-0.195
	-1.5
MLLT1	-0.075
MLLT3	-1.36
	-0.115
	0.315
RTF1	-1.16
	1.0
	1.135
PRAMEF8	-0.015
	0.44
NOSIP	1.53
BTG3	-0.595
BTG2	0.225
BTG1	1.29
C12orf43	-1.13
UPRT	-0.485
ZSWIM4	0.46
ZSWIM5	2.045
PIF1	1.96
ZSWIM7	0.39
NUPL1	0.42
NUPL2	-0.085
ZSWIM3	-0.89
NDRG2	2.125
NDRG3	0.385
NDRG4	1.605
NPAT	0.39
	-0.985
	0.875
HM13	1.44
GGA1	1.66
GGA3	0.945
GGA2	-2.025
	0.775
SORBS1	-1.145
SORBS3	1.425
ZSCAN12	0.37
LINGO1	0.21
PER2	-0.11
TSHZ2	-1.035
TSHZ1	0.47
XIAP	-1.035
	-0.03
SYT1	3.1
HINT3	-1.585
MPLKIP	1.085
ITM2C	0.43
LRIF1	-0.565
IL17B	1.2
	0.38
ARHGEF28	0.0
FAM104A	0.8
KIAA0368	-0.265
TRNT1	-0.555
ITM2B	0.16
TEX9	-0.67
KCNC1	-0.5
KCNC3	-1.245
RALGPS2	0.425
SLC35C2	0.45
RALGPS1	0.515
