PLEKHG2	-1.84
PLEKHG3	-0.425
CERS4	-1.755
CERS5	-0.79
HSPBAP1	-1.78
PLEKHG5	-0.51
NSA2	-0.24
ZNF846	-0.42
NAMPT	2.795
ERI3	-0.985
NDC1	-0.05
BCKDK	1.805
KIAA0355	-1.105
	-0.8
SHANK3	-0.23
SHANK2	-0.87
SHANK1	-0.83
CNOT11	-0.03
MIER1	-0.305
MIER2	-0.625
MIER3	-0.285
CNPPD1	0.675
AQP11	2.08
	-0.96
INVS	-0.395
RABIF	-0.145
	0.485
DAG1	1.18
MYADM	0.14
	-0.8
	-0.61
NAF1	-0.125
CEBPB	0.09
CEBPA	3.41
ACVR1	-0.875
FCHSD2	-1.565
CEBPD	-0.625
	2.965
	0.05
CA2	3.19
ERICH1	-1.075
	-0.495
ACSS2	4.35
CEBPZ	-0.38
ZNF726	0.18
ZNF710	-0.26
RBM8A	0.045
ZNF175	-0.66
MLLT4	-0.43
EDRF1	1.145
MLLT6	-1.31
	-1.115
MLLT1	-0.035
MLLT3	0.215
	-2.045
	-0.195
RTF1	-0.63
	1.105
SLCO2B1	2.55
	-0.35
	0.55
PRAMEF8	-0.69
	0.18
NOSIP	-0.435
BTG3	-0.18
BTG2	1.36
BTG1	2.21
C12orf43	-0.645
UPRT	-1.3
ZSWIM4	-1.11
ZSWIM6	-0.73
ZSWIM7	1.19
NUPL1	-0.635
NUPL2	-0.49
ZSWIM3	0.125
NDRG1	-1.11
NDRG2	3.355
NDRG3	0.49
	0.825
NPAT	-0.855
TTC30A	0.655
	-3.735
	0.04
HM13	-0.495
GGA1	0.595
GGA3	-0.06
GGA2	-1.025
	1.085
SORBS1	3.135
SORBS3	-2.1
SORBS2	-1.23
LINGO4	-3.895
PER2	1.875
TSHZ2	0.665
TSHZ3	-2.0
TSHZ1	0.14
INHBB	-2.4
	-3.43
HINT3	1.53
MPLKIP	0.205
LRIF1	0.485
	-1.36
FAM151B	0.765
	1.975
RUNX1T1	-1.975
FAM104A	-1.7
KIAA0368	0.685
TRNT1	0.3
ITM2B	1.12
	3.805
PORCN	1.435
KCNC3	-0.83
	-2.86
B3GNTL1	-0.325
B2M	0.45
MKL2	-0.71
TEX2	2.91
LTA4H	-0.09
LMNA	-1.405
ITM2A	0.76
	-0.32
SORCS2	-3.34
SUPT16H	-0.55
CMAS	-0.585
UBFD1	-0.54
FKBP15	0.265
MCL1	0.1
PTTG1	1.955
PREPL	0.885
GPR180	-1.06
GRIA3	-2.17
SASS6	-0.625
L1CAM	-0.24
SLC27A4	1.33
SLC27A6	-3.625
SLC27A1	4.695
SLC27A3	-1.025
IMP3	0.065
HMGXB3	-0.085
HMGXB4	0.3
LRRK1	-2.41
LRRK2	-0.72
THEM6	1.01
	4.585
DBN1	-2.425
	-3.175
TRIM39	0.15
TCOF1	-1.61
USH2A	0.32
TRIM33	-0.64
TRIM32	-0.32
TRIM37	0.16
TRIM35	-1.535
FOXO3	-0.005
FOXO1	2.9
DLAT	3.315
FOXO6	0.25
FOXO4	0.43
	-0.185
	3.165
THAP11	0.7
BTAF1	1.13
WSB1	-2.485
DBNL	-1.01
	-0.275
MST1R	0.985
FAM114A1	-2.205
FAM114A2	0.175
MTFR1	0.46
ALDOA	3.375
ALDOC	1.565
ALDOB	1.21
	2.765
COPE	0.46
SLC24A3	2.23
DBT	3.845
ZNF697	1.01
NSFL1C	-0.84
STX16	1.055
USP8	0.845
C12orf57	1.725
	-0.215
XPR1	0.12
USP1	0.22
USP2	2.53
USP3	-0.225
USP4	0.52
USP5	-0.46
USP7	-0.02
IL1RAP	-1.235
MIS12	-0.2
NR1D2	0.075
TPRKB	0.145
CARD6	0.915
	-1.13
FARS2	2.965
	0.515
RPL38	-0.685
RPL39	-1.7
	-0.01
RPL37	-0.45
	-1.165
RPL35	-0.995
	-1.525
RPL31	-0.905
	0.18
MAF	-0.095
FAM13B	-1.83
FAM13C	0.3
	4.695
BCAS2	-0.3
BCAS3	1.14
	0.505
	0.97
	1.27
	2.015
	-2.23
	-0.715
TPP1	-0.61
TPP2	0.18
RAD50	-0.305
SFMBT1	0.905
SFMBT2	-0.83
ZZEF1	1.46
