PLEKHG2	-0.36
PLEKHG3	-0.24
PLEKHG1	-1.69
PLEKHG6	-0.18
CERS3	0.16
PLEKHG5	-1.365
NSA2	1.335
ZNF846	0.12
NAMPT	-0.19
ERI3	1.065
CERS5	-0.05
NDC1	-0.06
BCKDK	0.455
KIAA0355	0.565
SYT8	-0.745
CNOT11	-0.505
MIER1	-0.8
MIER2	0.705
MIER3	0.415
ATXN7L2	-0.505
CNPPD1	-0.885
	1.81
	-0.12
	-1.075
INVS	-1.93
RABIF	0.16
	1.7
DAG1	0.275
MYADM	1.205
	0.685
	0.0
NAF1	-0.71
CEBPB	0.25
CEBPA	-0.06
ACVR1	-0.595
CEBPE	-0.07
CEBPD	0.215
	-0.015
	1.905
ERICH1	0.715
	-0.925
CEBPZ	1.015
ZNF710	-1.485
RBM8A	0.29
ZNF175	-0.245
MLLT4	-0.955
EDRF1	0.58
MLLT6	-1.575
	-0.135
MLLT1	1.175
MLLT3	-0.06
	0.85
	0.295
RTF1	-0.185
	1.19
KRT6B	0.385
PRAMEF8	1.14
NOSIP	0.255
BTG3	-1.55
BTG2	0.01
BTG1	-0.245
C12orf43	0.825
UPRT	-0.69
ZSWIM4	-2.095
PIF1	0.14
ZSWIM7	0.25
NUPL1	0.03
NUPL2	-0.91
ZSWIM3	-0.065
NDRG1	0.73
NDRG2	-0.84
NDRG3	0.475
	0.3
NPAT	-0.94
TTC30A	0.04
	0.07
ELMO3	0.17
HM13	0.605
GGA1	0.805
GGA3	-0.025
GGA2	1.02
	0.2
SORBS1	-1.09
SORBS3	1.19
SORBS2	0.56
LINGO4	0.455
TSHZ2	1.12
TSHZ1	-1.05
INHBA	1.795
INHBB	-0.15
	-0.41
	-2.945
HINT3	-0.075
MPLKIP	0.765
ITM2C	0.265
LRIF1	2.26
	-2.13
FAM151B	0.445
ARHGEF28	-0.31
	-0.205
FAM104A	-0.07
KIAA0368	-1.6
TRNT1	1.06
ITM2B	0.225
PORCN	-0.12
KCNC3	0.32
RALGPS2	0.64
RALGPS1	-0.32
B3GNTL1	-0.625
MKL1	-0.135
MKL2	-0.48
TEX2	-1.13
LTA4H	0.005
LMNA	0.52
	-1.5
	0.43
SUPT16H	-0.045
CMAS	-0.13
UBFD1	1.32
FKBP15	-0.43
ACADM	0.4
MCL1	0.505
PTTG1	0.33
UFD1L	0.475
PREPL	0.36
GPR180	-0.735
GRIA3	1.7
	-0.36
KRT71	0.74
SASS6	-0.34
L1CAM	-0.105
SLC27A4	-0.62
CEP19	-0.7
SLC27A1	0.655
	-0.455
IMP3	0.665
HMGXB3	-0.115
HMGXB4	0.41
LRRK1	-1.27
IMP4	-0.6
THEM6	-0.365
	-1.765
	-0.58
	-1.01
TRIM39	0.185
TCOF1	-0.395
TRIM33	-0.57
TRIM32	-0.535
TRIM37	-1.065
TRIM36	-0.1
TRIM35	0.575
FOXO3	-0.075
FOXO1	-1.23
DLAT	-0.4
FOXO6	0.155
FOXO4	0.54
	0.26
THAP11	-0.215
BTAF1	-0.665
WSB1	1.03
DBNL	0.815
KRT72	2.0
FAM114A1	0.41
FAM114A2	0.35
MTFR1	0.645
ALDOA	0.415
ALDOC	1.395
ALDOB	0.6
	0.89
COPE	1.345
SLC24A3	-0.08
ZIK1	1.38
	0.25
NSFL1C	1.2
	1.58
	0.53
USP8	0.59
SEL1L3	-1.105
	0.88
XPR1	-0.79
USP1	-0.645
USP2	-0.785
USP3	-0.525
USP4	0.145
USP5	0.7
USP7	-0.725
RIBC1	-1.405
IL1RAP	0.205
MIS12	1.67
NR1D2	0.52
TPRKB	-0.125
CARD6	-1.0
	0.77
FARS2	0.05
	-1.27
RPL38	0.1
RPL39	-1.225
	2.16
RPL37	0.35
	0.805
RPL35	1.395
	2.005
RPL31	-0.1
FAM13B	0.75
	-1.05
BCAS2	0.425
BCAS3	0.21
	0.67
	-1.05
	-0.045
	0.645
	-0.01
TPP1	0.925
TPP2	-0.5
RAD50	-0.185
SFMBT1	-0.475
ZZEF1	-0.31
HIST1H2BD	-1.515
BRF2	-0.125
CEBPG	0.505
BRF1	-1.385
SETX	-1.18
	0.845
SGPP1	-0.325
MLYCD	-0.37
HIST1H4B	-0.27
	-0.595
C1orf109	-0.5
FARSB	0.125
RPL3L	-1.17
UAP1L1	1.605
TTBK2	-0.845
CCDC90B	0.93
NCOR2	-0.52
NCOR1	-0.6
	-1.115
LYSMD3	0.945
NKIRAS2	0.5
MAGOHB	0.36
	-0.105
	0.84
PPME1	-0.07
FLNA	0.105
FLNB	0.555
FLNC	-0.05
LYPD3	1.405
	1.36
CEP164	-1.075
	-0.03
ADIPOR1	-1.285
FGR	1.76
	-0.525
	0.105
	1.1
TGM1	0.935
CNNM3	-0.79
CNNM2	-0.81
	-0.615
	0.2
TINF2	-1.115
	0.3
ZKSCAN3	0.06
SLC4A11	-0.095
	0.225
	-3.2
	-0.24
	-0.425
FST	1.955
HTR1B	0.49
RALY	0.02
PTPRZ1	-0.605
	-0.56
POLD1	0.125
POLD2	0.17
POLD3	0.64
POLD4	-0.4
	-0.12
	-0.12
DUT	1.175
RALB	0.24
RALA	0.04
HDAC1	2.09
HDAC3	0.14
HDAC2	-0.225
HDAC5	-0.99
	0.43
HDAC7	-0.09
HDAC6	-0.18
HDAC8	1.34
	0.48
GZF1	-0.22
	-1.0
GMPS	-0.425
EPAS1	-1.55
ENTHD2	-0.06
	0.43
KARS	1.255
C20orf194	-0.41
CYP26B1	1.985
UPF3B	-0.605
UPF3A	0.505
STRN	0.045
	-0.095
	0.435
	1.245
	-0.095
CORO1B	0.83
	-0.595
CLCN3	0.075
CLCN2	-0.395
ZNF76	-2.15
CLCN7	-0.19
CLCN6	-1.29
CLCN5	-0.22
	0.885
ZNF341	-0.48
IKZF5	0.295
	0.585
ADM2	-0.695
IKZF2	-0.345
H2AFV	0.94
MBTD1	0.52
H2AFX	-0.79
H2AFY	0.495
H2AFZ	0.585
SGSH	0.49
SON	-0.775
PIGY	-0.645
CNN1	1.05
BANP	-0.66
CNN3	0.675
CNN2	1.005
HADHB	-0.87
	-0.02
MGMT	0.23
CIZ1	-0.965
ASL	0.235
RHEBL1	1.22
SLC12A2	-0.795
IKBIP	-0.24
SKP1	-0.11
N4BP1	-1.365
OGFR	1.495
SNRPD3	0.01
MUC15	0.83
ANGEL2	-0.88
ANGEL1	-0.475
SNRPD2	0.91
DNLZ	0.26
SNRPD1	0.465
	-0.77
	-1.66
PDE8A	-1.24
PHC1	-1.425
PHC3	0.16
PHC2	-0.305
SEC16A	-1.12
GTF2H5	1.21
	0.115
CCDC91	1.095
ZWINT	0.315
GOLT1B	1.5
	-1.14
CSNK2A2	-0.18
CSNK2A1	-0.285
ZSWIM6	-0.555
IER3IP1	0.16
TERF2IP	0.89
RNF8	0.13
RNF6	-0.255
RNF7	-0.875
RNF4	-0.435
RNF5	2.08
CHMP7	0.955
CHMP6	-0.155
NET1	0.26
ZSWIM1	-0.115
RECQL5	-0.155
RECQL4	-0.4
SCLT1	-1.22
	-0.48
GCNT3	1.05
GCNT2	0.515
NAIF1	-0.175
ALPK1	-0.8
MARK4	-0.2
MARK1	1.0
MARK2	0.445
MARK3	-0.825
SLC12A9	0.43
STRIP1	-0.85
	-2.15
NMD3	1.35
	1.625
	1.14
NDRG4	-1.54
EXTL2	-1.34
EXTL3	-0.385
TIA1	0.665
TMEM160	-0.11
TMEM163	-0.39
TMEM165	0.835
TMEM164	-1.075
TMEM167A	0.825
TMEM168	-0.165
TBC1D8	-1.56
SLC12A1	1.08
C12orf10	0.555
	-1.22
TBC1D1	-0.245
TBC1D2	0.84
TBC1D4	-0.32
TBC1D5	-0.895
ANKRD11	-0.525
TBC1D7	-0.105
	-0.06
	-1.155
HNRNPDL	-0.08
SDCCAG8	0.13
SLC4A4	0.97
RYR1	0.03
	0.82
	0.0
SLC4A7	-0.95
ITGAV	0.105
	0.92
C18orf32	-0.01
SAE1	0.395
	1.15
ITFG2	1.315
	-1.095
ATE1	0.385
GTF2E1	1.695
EIF4E3	-0.255
	-1.03
AKIRIN2	-0.215
AKIRIN1	0.395
AP3M1	-0.89
AP3M2	2.11
	1.72
LIMD2	-1.54
LIMD1	0.16
	1.22
HNF1B	0.42
NOP58	0.765
KLHL42	1.745
ITGA2	-0.17
ACSF3	0.085
ITGA5	-1.12
	0.48
CUL1	0.84
ZNF865	-0.87
	0.63
ZNF627	0.605
SARNP	0.71
UNC119	-1.75
FLII	-0.495
	-0.04
ZNF91	0.8
C14orf119	0.1
	0.48
TPCN1	0.045
TPCN2	0.525
SCHIP1	0.485
TCIRG1	-0.44
LTBP4	0.31
LTBP3	0.03
LTBP1	-0.655
	0.06
	0.08
GLTP	0.365
HBEGF	0.175
PID1	-0.4
STK10	-0.83
M6PR	0.945
NDUFS1	0.65
ZNF12	-0.765
SULF2	0.97
	1.29
ZNF546	1.37
LAMA3	-0.78
R3HCC1L	0.345
LAMA5	-0.945
	-1.05
CBFB	0.445
SECISBP2	-0.67
NDUFS3	0.555
	0.145
CTDSPL2	0.865
	-1.37
CACNA1A	-1.14
ABCG2	3.31
	-0.12
IMPAD1	0.5
CMC1	0.07
CMC2	-0.31
GCSH	-0.395
RASAL2	-1.03
XIAP	0.145
DOPEY1	-1.545
SHROOM3	0.99
SHROOM2	-0.145
	-0.55
XRN1	-0.435
XRN2	0.185
SHROOM4	-0.215
	0.49
ARHGAP6	0.53
ARHGAP1	0.985
	1.185
DCBLD1	-1.14
AP5Z1	0.42
	0.015
NDUFS6	0.97
DQX1	-0.63
DYNLRB1	0.615
RPUSD4	-1.615
	-1.32
TIPARP	-0.46
DYNC1LI1	0.545
DYNC1LI2	1.015
	-1.21
	-1.6
	-1.05
	0.905
UTP3	0.28
MTCH2	0.85
MTCH1	1.59
ANKRD27	-0.265
ANKRD26	-1.005
	-0.075
ANKRD24	1.075
ANKRD22	-0.785
TIAL1	0.75
CNOT3	1.07
CNOT2	-0.005
CNOT1	-0.875
CNOT7	0.475
CNOT6	-0.405
ANKRD29	0.49
ANKRD28	-0.845
SARS2	1.145
IFT172	-1.19
UVRAG	-0.42
	-0.175
HIST3H2A	-0.8
RNF103	-0.285
NFIC	-0.11
NFIB	-0.82
NFIA	-0.38
	0.82
TTF2	-0.39
	0.12
CXCR2	-3.71
TTYH3	-1.09
GRASP	-0.81
HLTF	-0.535
NFIX	0.2
FBXL20	-1.35
ZNF292	-1.125
IGSF8	0.23
IGSF9	0.5
	-1.45
IGSF3	-0.265
CSNK1D	0.73
CSNK1E	0.08
KLHDC1	0.05
ALDH16A1	0.585
C7orf26	0.215
DLC1	-0.83
CASP8AP2	-1.84
ADAM12	-0.255
	0.38
C2orf42	0.55
DCAKD	1.145
SYNRG	-1.3
PKIG	-0.48
U2SURP	0.0
RPL14	1.22
RPL15	0.81
RPL17	0.02
RPL10	1.17
RPL11	1.035
RPL12	0.625
RPL13	0.745
	0.51
RPL18	1.935
RPL19	0.495
NUDT12	1.035
OGFOD1	0.1
OGFOD3	0.545
OGFOD2	-0.565
ARHGEF25	-1.96
NUDT11	0.81
LYRM2	-0.84
LYRM1	-0.415
LYRM7	-1.31
LYRM5	1.155
LYRM4	1.55
LNPEP	-0.96
MRPS14	-0.8
LYRM9	-1.76
MPHOSPH9	0.31
GSS	-0.35
GSR	0.515
CLTC	-1.25
	-0.86
	-1.385
LMAN2	1.275
	1.33
GSN	0.165
PRKRA	-0.645
HK2	0.13
HK1	0.95
WNT4	-1.4
MOB3B	-1.64
MOB3C	-0.11
MOB3A	-0.335
SOD2	0.555
GRHL1	0.09
GRHL2	-0.175
SOD1	1.555
C9orf40	0.1
