UBE2Q1	1.88
	-0.48
RNF10	-1.76
RNF11	0.0
	2.82
REM2	2.21
	2.81
MVB12B	1.54
MZT2A	0.85
	1.59
ATRX	-0.88
PMM2	0.18
PMM1	1.05
	1.26
	-0.27
	0.23
NID2	0.75
ZNF703	1.9
SPR	0.41
	-0.42
ZNF707	-0.08
C6orf141	1.65
ZNF704	-0.66
ZC3H10	1.49
	-1.48
RNF115	1.04
RNF112	2.08
ZC3H14	-0.34
RNF111	0.27
	-3.64
ZC3H18	1.06
GRIN1	0.88
DHX8	-0.54
DHX9	-0.93
	0.8
TCOF1	-1.46
NSRP1	-2.58
NUP98	-0.92
XPC	-0.08
SP1	-1.63
GRINA	-1.16
SP3	1.07
NUP93	-0.93
SP5	1.5
SP6	1.6
CAMKV	-0.56
GOLIM4	-2.38
OPA3	-0.43
OPA1	-1.84
	0.41
RAB40C	2.53
RAB40B	1.99
COL7A1	0.49
MDP1	-1.01
	2.19
GTSE1	-0.75
	0.09
	0.37
SPPL2B	0.61
ITGA8	-0.93
ATP2A1	-1.32
ATP2A2	-0.62
ATP2A3	1.48
ITGA1	0.34
ITGA2	-0.55
ITGA3	-0.92
ITGA4	0.61
ITGA5	0.43
ITGA6	-0.01
ITGA7	-0.28
RPL10	0.98
DENND4A	-1.88
DENND4B	-0.49
DENND4C	-2.08
SWAP70	-1.69
UFSP1	-0.36
PHLDA3	0.91
PHLDA2	1.49
GAP43	0.79
ASS1	-0.68
	0.91
FBXL12	1.4
TIPRL	-1.02
CYP27B1	-1.6
FBXL17	2.64
FBXL16	0.35
FBXL19	0.51
FBXL18	2.79
GHDC	0.84
SDK1	0.12
SDK2	0.22
	-1.4
	-3.0
GRP	2.35
TPRN	2.76
THSD4	1.15
SZRD1	-0.8
FAM212B	0.37
FAM212A	-0.05
CHST8	1.26
COL4A5	-1.45
	-0.45
COL4A3	0.62
COL4A2	-0.9
COL4A1	-0.05
SLC35D2	1.49
GRN	-0.51
CHST3	2.15
CHST2	1.0
	0.57
GCLM	2.46
CHST7	1.99
CHST6	0.45
HLX	-0.07
HLCS	2.19
NOG	0.86
ITGAV	-1.19
	-1.84
CAMK1	0.38
ITGAM	0.61
HLF	1.6
ITGAE	-2.77
SMAD9	-1.35
TRERF1	0.45
LRPAP1	-0.71
SMAD5	-0.35
SMAD6	1.58
	1.66
GOLPH3L	-0.93
SMAD1	0.92
SMAD2	-0.87
SMAD3	0.32
MUS81	-0.4
AMMECR1L	-0.97
	0.33
	-3.31
NECAP1	0.09
IGF2R	-0.97
ABHD14B	0.07
SLC36A4	2.41
CKS1B	-3.61
	0.03
	-2.1
ERICH5	-0.19
ERICH2	1.76
ERICH1	0.03
C14orf119	-0.45
	1.27
	0.13
ART5	-0.46
	2.27
ADRM1	-1.15
TCEA2	-0.71
TCEA1	-2.32
ABCD1	0.03
COX4I1	-3.27
BFAR	-0.2
	-0.99
	-0.13
	2.42
	-0.04
CADPS2	-0.35
RLF	-0.66
CCDC112	-1.85
MCF2L	1.49
LEO1	-1.85
MTCL1	0.58
ATP1A3	-0.4
ATP1A1	-1.38
	1.67
MGRN1	-0.05
TCP1	-3.11
CRTAP	2.94
SP8	1.57
SPHK1	0.9
CUEDC1	0.83
CUEDC2	-1.1
SP9	1.69
CPEB4	-0.02
CPEB1	1.11
CPEB3	0.08
CPEB2	1.23
BEGAIN	-0.49
CCDC43	-0.61
	0.45
SRBD1	-0.98
FRG1	-0.87
C2CD5	-0.71
IFT80	-1.18
IFT81	-1.52
	0.13
IFT88	-1.25
DEPDC1	-1.53
	1.15
	0.41
KISS1R	3.45
MCM10	-2.11
CSK	-0.13
	0.11
SP4	0.03
IL10RB	-0.65
ATG4B	0.82
THUMPD2	-0.24
CREB5	-0.15
	-0.32
ATG4D	2.09
PHOX2A	2.04
PHOX2B	1.58
	3.32
LRGUK	-0.02
GPT2	2.0
PNP	-1.81
ANKFY1	-0.27
	1.0
CDKAL1	-1.01
PNN	-2.87
ATP6V0E2	0.39
NFIL3	-1.7
	-2.43
	0.09
AAAS	-0.76
	1.81
	1.33
LTBP1	0.43
SIDT1	-2.3
	0.91
SIDT2	-1.18
CREB3	-1.55
SIX4	0.61
SIX5	2.57
	-0.81
MR1	-1.15
SIX2	1.04
SIX3	1.22
	2.21
	-0.35
CNPY4	-1.93
CNPY3	-1.1
CNPY2	-1.36
	-1.8
SYNJ1	0.35
KNDC1	-0.31
HMG20A	-2.11
HMG20B	1.26
AAGAB	-2.01
SYNJ2	-0.17
SHOX2	0.79
CHFR	1.0
SMDT1	0.28
	0.03
SYPL2	0.78
	-1.44
APP	-1.03
RFX7	-4.65
	-0.31
RFX1	1.0
RFX2	0.58
RFX3	1.11
YDJC	2.19
IBA57	1.48
APC	-2.49
TMEM179B	1.12
ETV3L	0.03
UQCRC2	0.03
XPNPEP1	-0.02
XPNPEP2	-0.94
	-4.33
	0.37
	-0.05
PAPLN	0.74
ADNP	-1.19
	-0.55
	-1.45
STXBP6	-0.09
KHDRBS1	1.83
	1.72
KHDRBS3	-1.36
GGCT	-2.17
ZNF395	1.48
ARPP21	1.88
	-0.24
	1.47
	-1.41
DPYSL4	1.07
TARS2	-0.82
	-0.02
DPYSL3	0.45
	4.03
	0.06
	0.37
IGFBP2	0.73
IGFBP3	1.25
	1.03
IGFBP1	1.22
BOP1	-0.13
MRGPRF	2.2
IGFBP4	0.34
IGFBP5	0.13
CYP1B1	1.26
CYP2R1	-0.58
CKLF	-1.1
HNRNPA1L2	-2.16
