PLEKHG2	1.39
PLEKHG3	-1.01
CERS4	-1.58
PLEKHG1	-1.3
PLEKHG6	-0.38
PLEKHG4	-1.28
PLEKHG5	-0.44
NSA2	1.0
NAMPT	1.02
ERI3	0.47
CERS5	1.06
MAN2A1	1.39
	-0.26
KIAA0355	0.72
SHANK3	0.36
SHANK2	-2.14
SHANK1	-0.23
MIER1	-1.41
MIER2	-1.02
MIER3	1.77
SYT5	0.96
ATXN7L2	-2.15
	0.81
CNPPD1	0.58
AQP11	-2.51
	-0.9
	0.22
INVS	-0.11
RABIF	-1.11
	0.345
BAIAP3	-0.01
TUBAL3	-1.04
DAG1	-1.66
	0.91
MYADM	-0.15
	-2.34
NAF1	1.63
CEBPB	-1.04
CEBPA	-0.32
ACVR1	1.09
IL31RA	-3.13
CEBPD	1.96
	0.61
	-0.71
ERICH1	0.26
	1.2
ACSS2	2.13
GOPC	-0.43
CEBPZ	-0.31
ZNF726	0.61
ZNF710	1.26
BCKDK	-1.24
ZNF175	0.64
MLLT4	-0.06
EDRF1	1.29
MLLT6	1.26
	0.41
MLLT1	-2.14
MLLT3	-0.69
	-1.03
	-0.65
RTF1	0.68
	-0.35
	1.8
	-0.22
	-1.55
PRAMEF8	2.51
CRTC1	-1.48
NOSIP	1.72
BTG3	-1.8
BTG2	1.18
BTG1	1.61
	-0.89
UPRT	1.69
	2.89
ZSWIM4	-3.26
ZSWIM5	-1.71
PIF1	0.79
RTN4IP1	0.46
AIG1	-0.05
NUPL1	1.34
NUPL2	0.86
ZSWIM3	-0.62
NDRG1	0.28
NDRG2	-2.79
NDRG3	1.26
	0.96
NPAT	0.88
TTC30A	-0.89
HM13	0.53
GGA1	-0.18
GGA3	2.15
GGA2	-0.45
	0.88
SCRN2	0.15
SORBS1	2.41
SORBS3	-2.82
SAV1	-0.76
LAX1	-0.01
ZSCAN12	0.68
TSHZ2	-2.17
TSHZ3	0.58
TSHZ1	-3.35
INHBB	-0.1
PGK1	-1.21
MPLKIP	1.14
HSF1	1.72
	0.6
RUNX1T1	3.52
FAM104A	0.92
KIAA0368	0.39
TRNT1	0.96
ITM2B	-0.55
KCNC4	-1.1
TEX9	1.24
KCNC1	1.36
UBQLN2	1.53
	-1.21
B2M	1.44
MKL2	2.36
	-3.68
CTRB2	-4.47
RDX	0.56
LTA4H	2.67
LMNA	0.715
MOCS2	1.39
SLC30A10	0.58
SUPT16H	1.19
	1.04
CMAS	2.445
UBFD1	-2.21
FKBP15	-1.55
ACADM	-2.13
MCL1	0.11
PTTG1	-1.95
	-1.66
	-1.66
	0.49
UFD1L	-0.24
PREPL	2.29
	-1.77
GPR180	-0.23
	-0.7
SASS6	2.02
L1CAM	-0.61
SLC27A4	0.81
SLC27A1	-3.19
SLC27A3	-1.4
IMP3	0.18
HMGXB3	0.42
HMGXB4	0.98
LRRK1	-1.44
LRRK2	-2.14
THEM6	-2.23
THEM5	-2.0
DBN1	-1.97
	-1.64
TRIM39	0.1
TCOF1	-0.23
TRIM33	0.1
TRIM32	-0.56
TRIM37	1.91
TRIM36	-4.22
TRIM35	-0.18
FOXO3	1.04
FOXO1	0.08
DLAT	-0.19
FOXO6	-2.45
FOXO4	0.47
	-0.57
	-0.75
THAP11	1.17
BTAF1	1.64
WSB1	1.66
UBE3A	-0.18
DBNL	0.2
	-0.88
MST1R	-0.59
FAM114A1	-2.45
	-0.12
FAM114A2	1.53
MTFR1	0.34
ALDOA	-1.29
ALDOC	2.04
ALDOB	3.7
	-1.11
COPE	-0.52
SLC24A3	-1.03
ZIK1	2.02
