UBE2Q1	0.51
RNF14	0.14
UBE2Q2	0.21
RNF10	0.0
RNF11	-2.4
RNF13	2.12
	0.27
	0.27
	1.15
	-0.56
MVB12B	-0.81
MZT2A	-0.07
	-0.09
ATRX	1.18
PMM2	-2.19
PMM1	0.44
	-0.05
	-0.05
	-4.23
NCBP1	0.3
	-0.72
	0.77
	1.29
ZNF879	1.57
ZNF878	-1.3
NID2	-0.71
ZNF703	0.15
STYXL1	-0.66
	1.06
	1.05
ZNF707	-0.75
ZNF706	-0.47
ZNF704	0.68
ZC3H10	0.74
	0.28
RNF115	0.38
	0.36
ZC3H14	0.86
RNF111	-0.12
	-1.24
ZC3H18	0.67
DHX8	0.56
DHX9	-0.1
	1.39
TCOF1	0.94
NSRP1	1.7
NUP98	-0.94
XPC	1.8
SP1	1.59
GRINA	-0.4
SP3	1.66
NUP93	-1.02
SP5	0.34
SP6	1.33
CAMKV	0.67
SPPL3	-0.02
GOLIM4	1.82
OPA3	-0.68
OPA1	0.34
	-1.27
RAB40C	-0.69
RAB40B	-1.59
	-0.24
COL7A1	0.41
	0.21
GTSE1	-0.92
	-1.61
B2M	0.02
	0.48
	-0.14
SPPL2A	0.5
	-1.11
SPPL2B	1.1
ITGA8	0.92
ITGA9	0.21
UGCG	-1.86
WDR93	-0.05
ATP2A1	-1.3
ATP2A2	0.3
ATP2A3	-3.08
ITGA1	0.29
ITGA2	-0.6
ITGA3	-0.63
ITGA4	0.98
ITGA5	1.09
ITGA6	-1.31
ITGA7	0.25
DENND4A	2.31
DENND4B	1.07
DENND4C	0.83
SWAP70	0.34
UFSP1	1.37
PHLDA3	-1.21
UFSP2	1.32
	0.7
	0.72
GAP43	-0.92
ASS1	1.4
	0.73
FBXL13	-1.0
FBXL12	-3.45
TIPRL	-0.36
FBXL14	-0.6
FBXL17	1.85
FBXL16	-2.47
FBXL19	-2.04
FBXL18	-0.88
RALGAPA2	-0.31
GHDC	0.24
SDK1	2.04
SDK2	0.27
	-2.33
TPRN	-1.2
THSD4	1.6
SZRD1	-1.68
FAM212B	0.66
FAM212A	-2.08
CHST9	0.36
CHST8	1.26
COL4A5	0.31
	-1.04
COL4A2	0.17
COL4A1	0.06
GRN	0.38
CHST3	-0.6
CHST2	-1.37
	-0.14
CHST4	-2.47
CHST7	1.64
CHST6	0.15
HLX	1.01
HLCS	0.71
NOG	0.64
ITGAV	1.52
	-0.27
CAMK1	0.07
HLF	1.8
ITGAE	0.05
	1.97
	0.67
SMAD9	2.14
TRERF1	0.25
LRPAP1	-0.82
SMAD5	0.43
SMAD6	1.83
SMAD7	1.17
GOLPH3L	-0.16
SMAD1	2.46
SMAD2	0.59
SMAD3	-1.45
MUS81	1.81
	-0.82
AMMECR1L	0.6
	-1.13
	2.72
NECAP1	-0.08
IGF2R	2.11
ABHD14B	1.09
	1.61
SLC36A4	1.23
CKS1B	0.17
SLC36A1	-0.24
	-0.76
ERICH5	0.03
ERICH2	-0.35
ERICH1	-0.91
C14orf119	-2.18
	0.66
	0.85
ART5	-1.0
	-1.61
	0.18
HAUS7	-0.32
	-1.0
ADRM1	-2.16
TCEA2	-0.44
TCEA1	0.57
ABCD1	0.38
COX4I1	-0.83
BFAR	-0.25
	-1.23
	-3.07
	1.06
ABCD2	3.05
	-1.19
MPRIP	0.46
CADPS2	0.34
RLF	0.23
CCDC112	0.65
MCF2L	0.8
CCDC110	0.54
MEI4	0.81
LEO1	0.25
MTCL1	0.18
ATP1A4	-1.28
ATP1A3	-1.29
ATP1A2	-3.31
ATP1A1	0.19
	1.07
	-2.06
MGRN1	-0.78
TCP1	-0.5
	0.62
CRTAP	-2.15
SP8	-1.17
SPHK1	0.8
	-1.2
CUEDC1	0.49
CUEDC2	0.7
SP9	-1.81
CPEB4	0.85
CPEB1	1.57
CPEB3	-1.26
CPEB2	0.93
	-0.27
SRBD1	1.76
ABAT	1.27
	-0.02
ZNF780B	2.21
FRG1	-0.67
	0.36
RHEBL1	0.26
	1.4
IFT80	2.6
	-1.25
	2.42
IFT88	2.06
DEPDC1	-0.13
	2.2
	-0.56
MCM10	0.45
	-2.8
CSK	-1.18
SP4	0.13
IL10RB	-1.43
ATG4C	-0.35
ATG4B	-1.61
ATG4A	0.67
THUMPD2	-1.65
ATG4D	-1.82
	-0.1
LRGUK	3.39
CFH	0.42
GPT2	4.55
PNP	-1.89
ANKFY1	-0.03
	-0.28
	-0.14
CREBBP	0.87
	0.26
PNN	-0.3
ATP6V0E1	-0.26
ATP6V0E2	-1.59
NFIL3	1.22
	2.79
	0.02
AAAS	-1.22
	1.33
LTBP1	0.87
	0.72
SIDT2	0.18
CREB3	1.23
TUBA4A	-2.3
	-1.67
FGGY	1.79
SIX4	0.71
SIX5	1.82
	-0.15
	-1.61
MR1	1.06
SIX2	-1.38
SIX3	1.22
	-0.7
CNPY4	0.11
CNPY3	-0.78
CNPY2	0.0
CNPY1	2.35
	-1.19
SYNJ1	-0.31
KNDC1	1.15
