UBE2Q1	0.3
RNF14	-0.23
UBE2Q2	0.04
RNF10	0.97
RNF11	-0.52
RNF13	-0.62
	0.77
	0.76
	0.11
	-0.53
MZT2A	-1.16
	-1.24
CHMP1B	-0.47
PMM2	-1.12
	-1.33
ASS1	-1.9
	0.03
	-0.1
	-0.22
	0.78
	-0.63
ZNF879	-0.57
ZNF878	0.72
NID2	1.96
ZNF703	0.37
	0.68
	0.86
ZNF706	0.02
ZNF704	-0.24
ZC3H10	-0.25
	0.32
RNF115	-0.43
	-0.82
RNF111	0.39
	-1.11
ZC3H18	0.69
	-0.38
SP8	1.76
DHX9	1.71
	0.27
TCOF1	0.89
NSRP1	-0.27
NUP98	0.99
SP1	0.39
GRINA	0.7
SP3	0.19
NUP93	1.05
SP5	-0.05
CAMKV	-0.4
SPPL3	0.96
GOLIM4	0.19
OPA3	0.43
	1.7
RAB40C	0.3
RAB40B	0.29
	-1.38
GTSE1	0.9
	0.76
SPPL2A	-0.05
	-1.19
SPPL2B	1.18
ITGA8	1.06
UGCG	1.73
ATP2A1	0.08
ATP2A3	2.44
ITGA1	-0.37
ITGA2	0.42
ITGA3	1.0
ITGA4	0.22
ITGA5	0.65
ITGA6	-0.24
ITGA7	0.94
CEP131	-0.17
DENND4A	0.2
DENND4B	0.09
SWAP70	-0.41
UFSP1	-0.4
PHLDA2	0.06
	1.16
	-0.4
	-0.55
FBXL13	0.6
FBXL12	-2.86
TIPRL	-0.73
FBXL14	0.57
FBXL17	-0.45
FBXL16	0.06
FBXL19	0.94
FBXL18	0.47
RALGAPA2	0.87
GHDC	-0.14
SDK1	0.47
SDK2	0.42
	0.3
TPRN	0.08
THSD4	0.39
FAM212B	-0.74
THSD1	-0.01
CHST8	-0.4
COL4A5	1.25
	-0.44
COL4A3	-0.35
COL4A2	1.69
COL4A1	-0.03
GRN	0.35
CHST7	-0.4
	-0.34
ITGAV	1.25
	-0.2
CAMK1	-0.46
HLF	-2.45
ITGAE	-0.1
	0.34
	-0.88
SMAD9	-0.86
TRERF1	0.45
LRPAP1	0.31
SMAD5	0.38
SMAD7	1.01
GOLPH3L	0.4
SMAD1	-0.2
SMAD2	-0.24
SMAD3	0.01
MUS81	-0.8
	-0.45
AMMECR1L	0.0
	0.15
	0.32
IGF2R	1.34
ABHD14B	-1.52
	-1.81
SLC36A4	1.18
CKS1B	-0.45
SLC36A1	0.02
ERICH5	-0.29
ERICH1	-0.2
C14orf119	0.54
	1.27
	1.64
	1.4
HAUS7	-0.17
ADRM1	-0.18
TCEA2	-0.88
TCEA3	-1.95
COX4I1	-0.25
BFAR	0.12
	-0.16
	-1.33
ABCD2	0.72
	0.64
MPRIP	-0.18
CADPS2	0.08
RLF	0.68
CCDC112	-0.57
MCF2L	0.47
CCDC110	1.66
LEO1	0.46
MTCL1	0.56
ATP1A4	-0.83
ATP1A3	0.88
ATP1A2	1.2
ATP1A1	1.16
	0.39
	0.13
	0.55
MGRN1	-0.35
TCP1	0.69
CRTAP	-0.28
SPHK2	-0.12
SPHK1	-0.47
	1.86
IPO11	1.19
CUEDC2	-0.67
SP9	1.38
CPEB4	-0.74
	-0.2
CPEB1	-0.28
CPEB3	-0.15
CPEB2	-0.61
	-0.35
SRBD1	0.81
ABAT	-0.21
	-0.35
ZNF780B	0.66
	1.87
	1.07
IFT80	0.02
	-1.0
	-0.77
IFT88	0.6
FKBP9	-0.16
SP2	-0.69
	0.4
MCM10	0.66
	0.35
SP4	0.68
IL10RB	-0.78
	0.95
ATG4C	-0.48
ATG4B	0.43
ATG4A	-0.06
	0.82
	-1.08
LRGUK	-0.5
	0.67
GPT2	-2.08
PNP	0.54
CFD	-0.4
	-0.4
	0.47
	-1.51
PNN	0.82
ATP6V0E1	0.42
NFIL3	-0.36
	0.74
	-0.11
AAAS	0.54
	-1.31
	0.45
GCLC	-0.14
	-0.66
SIDT2	1.3
	-0.22
SIX4	0.56
SIX5	0.1
	-2.86
MR1	0.74
SIX2	0.56
SIX3	1.31
	0.33
CNPY4	-0.07
CNPY3	-0.11
CNPY2	-0.5
CNPY1	-2.67
	0.05
COPG2	0.68
KNDC1	0.81
HMG20A	0.16
HMG20B	-0.32
GLT8D2	1.07
AAGAB	-0.76
RAB12	-0.68
GLT8D1	1.35
SCYL2	-0.23
SYNJ2	0.09
C3orf70	-0.85
SHOX2	-0.78
ZFP82	0.1
CHFR	-1.14
SYPL1	0.85
GPR75	0.05
	-1.51
SYPL2	-0.7
ZCCHC12	0.63
	-0.1
	-0.29
RFX6	2.36
RFX7	0.28
	0.09
RFX1	0.43
RFX2	1.34
RFX3	-0.19
YDJC	-0.69
IBA57	-0.52
APC	0.05
TMEM179B	-0.13
ETV3L	-0.45
UQCRC2	0.85
XPNPEP1	0.46
	0.07
	0.26
	0.16
