PLEKHG2	-1.04
PLEKHG3	-0.145
CERS4	0.0
PLEKHG1	0.055
PLEKHG6	-0.435
PLEKHG5	-1.075
NSA2	2.545
	-0.77
ZNF846	-0.305
NAMPT	3.98
ERI3	-0.28
CD5	0.76
VMO1	0.345
NDC1	-0.105
	-0.485
	0.375
KIAA0355	1.055
RCBTB2	-0.635
UBE2D1	0.635
SHANK3	0.835
SHANK2	-0.995
	0.195
CASQ1	2.39
SYT9	0.55
CNOT11	0.155
MIER1	1.75
MIER2	0.795
MIER3	1.4
SYT5	0.57
ATXN7L2	1.665
	-0.725
TOM1	0.18
	-0.26
CNPPD1	-0.045
AQP11	1.845
C17orf58	-0.145
	1.075
	0.33
INVS	-0.65
ABCB1	0.675
	3.555
	-1.2
TUBAL3	-1.63
DAG1	-0.535
	-0.96
MYADM	-0.525
IRF1	-1.46
	-1.89
	-5.99
	-0.96
NAF1	-0.785
CEBPB	0.64
CEBPA	-1.44
ACVR1	-1.52
CEBPE	-0.555
CEBPD	2.1
	-0.255
	2.615
ACSS3	-4.0
ERICH1	-0.27
	1.13
	1.07
GOPC	-0.365
CEBPZ	0.48
ZNF726	-0.16
ZNF710	-0.545
HFE2	-1.57
	1.29
BCKDK	-2.075
ZNF175	0.895
MLLT4	0.36
EDRF1	0.67
MLLT6	0.88
	0.875
	1.025
MLLT1	-0.635
MLLT3	-0.595
	0.18
RGS10	0.875
	3.27
	-0.475
RTF1	1.005
	1.02
	-2.0
	-1.44
	-0.21
FBXL14	0.805
	-0.35
	-2.25
CRTC1	-1.105
NOSIP	-0.08
BTG3	1.315
BTG2	1.465
BTG1	-0.835
C12orf43	-1.51
UPRT	-0.99
	0.29
ZSWIM4	0.29
ZSWIM5	-1.55
PIF1	-2.0
RTN4IP1	-1.585
AIG1	0.865
NUPL1	0.07
NUPL2	-0.925
ZSWIM3	-0.165
NDRG1	-0.23
NDRG2	-0.09
NDRG3	-1.065
	-1.255
NPAT	-0.335
TTC30A	-1.22
	-0.855
ELMO3	0.355
HM13	0.365
GGA1	-0.47
	0.38
GGA3	0.305
GGA2	-0.38
	1.22
	0.57
SORBS1	0.86
SORBS3	-0.01
SORBS2	-0.765
	-0.275
TBX2	0.37
ZSCAN12	0.575
LINGO2	1.07
LINGO1	-0.08
PER2	-0.44
TSHZ2	-1.34
TSHZ3	-0.315
TSHZ1	-0.25
INHBA	1.915
INHBB	1.455
INHBC	1.005
INHBE	0.88
SYT1	1.255
	-2.25
HINT3	-0.47
SYT2	0.92
ITM2C	-0.46
LRIF1	0.23
SYT3	0.25
	-0.545
	1.87
	1.88
	-0.11
FAM151B	0.23
