UBE2Q1	-6.72
RNF14	0.89
UBE2Q2	0.28
RNF10	0.93
RNF11	0.54
RNF13	1.47
	0.38
	0.27
	0.54
	-0.81
MVB12B	0.73
MZT2A	0.35
	1.16
ATRX	0.1
PMM2	1.39
PMM1	-2.03
ASS1	1.24
	-0.72
NCBP1	-0.95
	2.17
	0.55
ZNF879	0.24
NID2	0.67
ZNF703	-0.42
STYXL1	-2.08
	2.5
	0.07
ZNF707	0.85
ZNF706	1.65
ZNF704	-1.71
ZC3H10	2.63
	-1.47
RNF115	0.75
	0.41
ZC3H14	-0.33
RNF111	-0.4
	0.58
ZC3H18	-1.21
DHX8	0.86
DHX9	-0.61
TCOF1	-4.06
NSRP1	1.16
NUP98	-1.83
XPC	2.3
SP1	-2.01
GRINA	2.43
SP3	0.58
NUP93	-3.73
SP7	2.15
SPPL3	1.11
GOLIM4	-1.47
OPA3	0.44
	0.55
OPA1	0.48
	-0.65
RAB40C	2.13
RAB40B	1.68
FBL	-2.42
COL7A1	-0.09
	-1.45
GTSE1	-4.44
B2M	1.76
	-1.1
SPPL2A	0.72
SPPL2B	0.63
NOP9	1.03
UGCG	2.75
ATP2A1	-1.16
ATP2A2	-0.74
ATP2A3	-0.44
ITGA1	-2.59
ITGA2	-4.36
ITGA3	-1.56
ITGA5	-1.87
ITGA6	-1.18
ITGA7	-0.73
DENND4A	-1.81
DENND4B	-2.02
DENND4C	-0.49
SWAP70	-0.63
PREB	-0.02
UFSP1	-0.78
PHLDA3	3.71
UFSP2	0.28
	1.0
	4.73
	1.02
FBXL12	-0.89
TIPRL	0.41
FBXL14	-2.79
FBXL17	0.16
FBXL16	2.21
FBXL19	-1.35
FBXL18	-1.11
RALGAPA2	-0.07
GHDC	-0.2
	0.42
	-3.08
TPRN	0.89
THSD4	0.74
SZRD1	1.54
FAM212B	2.21
FAM212A	0.82
COL4A6	-1.3
COL4A5	0.12
	-1.58
COL4A2	-1.32
COL4A1	-0.41
SLC35D2	1.84
GRN	0.99
CHST3	2.19
CHST2	1.59
GCLM	-0.09
CHST7	0.25
HLX	0.68
HLCS	-0.53
ITGAV	-0.4
	1.46
CAMK1	-1.66
NOV	3.27
ITGAE	-1.82
	3.3
SMAD9	-1.77
TRERF1	0.29
LRPAP1	-0.14
SMAD5	-1.38
