UBE2Q1	0.61
RNF14	2.05
RNF10	0.93
RNF13	-4.0
	-1.55
	-1.61
	1.44
MZT2A	1.68
	1.72
ATRX	-4.15
PMM2	-2.97
PMM1	-1.88
ASS1	3.24
	1.21
MVB12A	0.29
CAMK1	-1.67
	0.15
ZNF707	-0.95
ZNF706	0.45
ZC3H10	-0.73
	-3.69
RNF115	1.47
	1.79
ZC3H14	-1.09
SPN	-1.33
RNF111	-2.4
	1.69
ZC3H18	-1.08
DHX8	-2.34
DHX9	-2.09
TCOF1	0.5
NSRP1	-0.49
NUP98	0.08
XPC	0.14
SP1	-0.65
GRINA	-1.16
SP3	-0.42
NUP93	-0.3
SP5	2.2
SPPL3	-1.88
GOLIM4	1.93
	1.76
OPA1	0.19
RAB40C	0.48
FBL	1.91
COL7A1	-0.47
GTSE1	3.04
B2M	-5.25
	-0.28
SPPL2A	-0.52
SPPL2B	0.46
NOP9	-2.68
ITGA9	-0.26
UGCG	1.77
ATP2A1	0.86
ATP2A2	0.38
ATP2A3	-0.2
NOP2	-0.53
ITGA4	-6.89
ITGA5	-2.07
ITGA6	-2.19
DENND4A	-2.13
DENND4B	-0.17
DENND4C	-2.05
SWAP70	-2.38
PREB	0.15
UFSP2	1.68
	-3.27
	-0.74
FBXL13	1.43
FBXL12	0.92
TIPRL	1.4
HRH3	-4.09
FBXL17	-2.03
FBXL16	-1.13
FBXL19	0.76
FBXL18	1.88
RALGAPA2	-2.95
GHDC	-3.16
	1.73
SDK2	-0.73
	-0.81
SZRD1	-0.5
ABHD14A	-1.61
	-0.13
COL4A2	0.4
GRN	-4.27
CHST2	0.08
ITGAV	-0.11
	0.29
ITGAM	-6.5
ITGAE	-0.58
	0.8
	1.19
TRERF1	-1.84
LRPAP1	-1.25
SMAD5	-0.53
SMAD7	-1.84
GOLPH3L	1.18
SMAD2	-0.59
SMAD3	-0.32
MUS81	1.0
AMMECR1L	1.61
	1.46
NECAP1	-1.44
IGF2R	-1.64
TMEM9	1.36
PLRG1	0.04
CKS1B	2.1
SLC36A1	-0.53
	-1.42
ERICH1	-3.03
C14orf119	-0.31
	1.86
	1.66
HAUS7	0.3
DRAP1	1.47
TCEA1	1.12
ABCD1	-1.1
COX4I1	1.65
BFAR	0.32
CADPS2	-1.64
RLF	0.63
CCDC112	-1.15
LEO1	0.71
MTCL1	1.38
ATP1A3	0.19
ATP1A2	0.46
ATP1A1	-0.49
	1.2
MGRN1	-1.11
TCP1	2.07
CRTAP	0.03
SPHK2	-1.76
SPHK1	0.92
MDH1	0.46
CUEDC2	-0.05
CBLB	-1.99
CPEB4	-1.34
CPEB1	1.2
CPEB3	-1.61
CPEB2	-1.95
	-0.5
SRBD1	-1.84
	-0.13
ZNF780B	-0.26
FRG1	-0.74
C2CD5	0.0
TBC1D31	-0.32
IFT88	-1.33
SP2	0.24
	1.08
MCM10	2.12
SP4	-0.48
IL10RB	0.28
ATG4C	-0.75
ATG4B	-0.2
ATG4A	-1.15
THUMPD2	0.47
ATG4D	2.04
CFH	1.93
GPT2	1.2
PNP	-0.21
ANKFY1	-2.81
CREBBP	-2.3
PNN	0.19
ATP6V0E1	-1.44
NFIL3	-4.79
AAAS	1.1
LTBP1	-1.09
SIDT2	-3.15
CREB3	1.01
SIX5	-1.06
	2.76
MR1	-2.29
	1.37
	-0.13
CNPY3	-0.92
CNPY2	1.81
	1.75
SYNJ1	-0.16
HMG20A	2.5
HMG20B	-1.0
AAGAB	1.22
	2.66
SCYL2	0.43
SYNJ2	0.37
SHOX2	-0.22
CHFR	-0.14
SMDT1	-0.29
	-1.48
RFX7	0.09
RFX1	-1.68
RFX2	0.48
RFX3	0.54
YDJC	1.89
APC	-1.7
TMEM179B	0.29
ABCE1	0.49
UQCRC2	1.1
XPNPEP1	-0.06
	1.41
	0.22
GGCX	0.95
PAPLN	-2.84
ADNP	-0.66
ZNHIT2	0.19
KHDRBS1	0.7
	1.78
GGCT	1.45
	-0.47
	1.28
	1.07
C11orf1	1.21
TARS2	-1.08
DPYSL2	-6.9
	1.88
HBE1	2.21
IGFBP4	1.63
CYP1B1	-5.29
CKLF	-2.27
HNRNPA1L2	0.82
GJA8	-1.24
	0.14
KDM3B	-0.9
KDM3A	-0.95
