CERS6	-1.39
CERS4	-1.71
CERS5	-0.35
HSPBAP1	1.42
PLEKHG5	-2.4
NSA2	1.15
NAMPT	1.77
ERI3	-0.14
MAN2A1	-2.82
	-1.5
BPIFB4	0.2
KIAA0355	-0.16
SHANK3	-2.78
SHANK1	-2.32
MIER1	-0.2
MIER2	-1.1
MIER3	1.67
SYT5	-0.6
ATXN7L2	-1.09
	0.52
CNPPD1	0.0
AQP11	-0.02
	-1.0
INVS	-1.25
RABIF	-0.09
	0.16
TUBAL3	-0.32
DAG1	-4.3
	-0.23
MYADM	-1.23
	-0.34
	-0.8
NAF1	2.21
CEBPB	-3.01
CEBPA	-1.35
CEBPG	0.9
IL31RA	-1.95
CEBPD	-2.15
	0.89
	0.89
SDF2L1	-0.77
ERICH1	0.31
	0.37
	-1.12
CEBPZ	1.15
ZNF710	-1.44
BCKDK	0.84
MLLT4	-2.27
EDRF1	2.23
MLLT6	-2.98
	-0.02
MLLT1	1.27
MLLT3	0.73
	1.225
RTF1	0.47
	0.54
APOA1	1.17
PRAMEF8	-0.82
CRTC1	0.71
NOSIP	1.34
	-2.31
BTG3	-0.14
BTG2	0.975
BTG1	-0.05
C12orf43	2.3
ZSWIM4	-0.84
ZSWIM5	-0.03
PIF1	1.87
ZSWIM7	1.93
NUPL1	1.3
NUPL2	1.74
ZSWIM3	0.54
CLCNKB	0.17
NDRG1	-2.43
NDRG2	0.2
NDRG3	0.41
	0.13
NPAT	1.02
TTC30A	-0.1
HM13	-2.6
GGA1	-1.87
GGA3	-0.27
GGA2	0.26
	-1.15
	-0.42
SORBS1	1.12
SORBS3	-3.3
ZSCAN12	1.22
TSHZ2	-0.48
TSHZ3	-1.27
TSHZ1	-2.06
XIAP	-0.31
INHBC	-0.82
HINT3	1.87
MPLKIP	2.19
HSF1	-1.43
FAM151B	1.81
ARHGEF28	-0.55
RUNX1T1	-0.03
FAM104A	2.11
KIAA0368	0.75
TRNT1	1.24
ITM2B	-1.91
KCNC4	-1.66
KCNC3	-0.91
RALGPS2	-0.84
SLC35C2	-0.35
B2M	-0.76
	2.52
CTRB2	-9.32
ACADL	1.98
LTA4H	1.89
LMNA	0.7
MOCS2	0.61
SORCS1	0.28
SORCS2	-1.06
SUPT16H	0.06
CMAS	-0.505
UBFD1	-0.4
FKBP15	-0.68
MCL1	0.89
PTTG1	-0.59
	0.51
TSSK6	2.04
PREPL	0.32
	-1.46
GRIA3	0.01
	-2.5
SASS6	1.6
L1CAM	-0.5
SLC27A5	1.13
SLC27A3	-0.12
IMP3	1.03
HMGXB3	-1.64
HMGXB4	1.8
LRRK1	-2.43
IMP4	0.74
THEM6	1.47
CDHR3	-0.63
ZBTB48	0.88
	-0.23
	-0.13
	1.58
TRIM39	-0.23
TCOF1	-0.47
USH2A	-1.06
TRIM33	-0.15
TRIM32	0.82
TRIM37	0.29
TRIM36	-0.13
TRIM35	-3.18
FOXO3	-0.225
FOXO1	-2.04
DLAT	0.65
FOXO6	-2.01
FOXO4	0.2
	0.54
THAP11	1.79
BTAF1	1.34
WSB1	0.68
UBE3A	0.44
DBNL	0.08
FAM114A1	-2.25
	0.64
FAM114A2	-0.07
MTFR1	1.39
ALDOA	-1.08
ALDOB	-1.77
	0.06
COPE	1.03
SLC24A3	-0.12
NUP43	2.01
	0.25
	0.06
NSFL1C	1.05
	-2.44
STX16	-2.32
USP8	0.17
C12orf57	-1.44
	1.12
XPR1	-0.76
USP1	-1.25
USP2	-1.46
USP3	-0.97
USP4	0.14
USP5	0.21
USP7	0.88
CARD9	0.21
SAMSN1	0.86
NR1D2	-1.25
CALR3	-0.34
CARD6	-0.08
	-1.32
FARS2	0.13
	-0.81
RPL38	0.86
RPL39	0.25
	-0.79
RPL37	0.125
	1.63
RPL35	1.51
	0.87
	0.0
FAM13B	-1.13
BCAS2	1.4
BCAS3	1.33
	1.06
	-1.15
	2.1
	2.25
ARL2	1.99
	0.67
TPP1	1.2
TPP2	2.31
RAD50	1.26
SFMBT1	1.26
DET1	-0.96
ZZEF1	-0.94
HIST1H2BD	2.91
BRF2	-0.25
BRF1	-2.08
SETX	-1.15
	-0.76
SGPP1	-1.13
	-0.84
HIST1H4B	1.475
	1.09
LDB3	-2.49
C1orf109	0.79
	-2.46
FARSB	1.04
RPL3L	1.24
UAP1L1	-1.6
METTL1	1.19
TTBK2	-0.78
CCDC90B	-1.31
NCOR2	-4.7
NCOR1	-0.79
	0.53
PLA2G4C	1.24
PEBP1	1.65
	-0.55
MAGOHB	1.89
	-1.56
	-0.33
	0.78
PPME1	1.93
PCOLCE	-3.77
FLNA	-6.07
FLNB	-5.03
FLNC	-4.79
	0.29
CEP164	-1.56
	0.1
	-3.59
	-0.73
APAF1	0.11
	0.085
	-2.25
FGB	-1.11
CNNM1	-0.12
TGM1	0.34
CNNM3	0.48
CNNM2	0.38
	-0.55
TINF2	0.57
C15orf41	1.63
	1.65
	-1.31
	-0.55
	-0.41
	1.24
	1.37
FST	-0.79
	-1.12
	1.0
EDAR	1.24
RALY	1.45
POLD1	0.82
POLD2	0.12
POLD3	2.12
	0.17
DUT	0.23
	-0.83
RALA	-0.47
RBM8A	0.66
HDAC1	0.505
SH3YL1	0.93
	0.05
HDAC5	-3.49
HDAC4	-0.99
HDAC7	-3.01
HDAC6	-0.03
HDAC9	-0.82
CEL	-7.77
GSTCD	0.57
GZF1	-0.12
GMPR	1.415
GMPS	2.01
EPAS1	-1.29
ENTHD2	1.13
KARS	1.02
C20orf194	1.24
UPF3B	-0.17
UPF3A	0.43
STRN	-1.15
AGMAT	-0.55
	0.28
	0.28
	-1.31
CORO1B	0.28
CLCN3	1.68
CLCN2	-0.5
CCDC94	-0.13
CLCN7	0.18
CLCN6	0.0
CLCN5	0.99
	0.86
IKZF5	2.08
IKZF1	0.48
ADM2	1.34
	1.79
H2AFV	2.15
MAGEE1	-0.41
MBTD1	0.34
H2AFX	2.6
H2AFY	-0.31
H2AFZ	1.89
CES5A	0.66
SGSH	1.69
IGSF9B	0.38
	2.01
SON	0.07
H2AFJ	1.04
ARSA	-1.01
SORT1	-1.86
BANP	1.12
CNN3	1.17
CNN2	-1.66
HADHB	1.44
	0.59
	-1.3
CIZ1	-0.03
ASL	1.16
SLC12A2	-1.15
IKBIP	0.08
SKP1	-1.64
	-0.43
N4BP1	-1.4
SNRPD3	0.97
ANGEL2	0.36
SNRPD2	1.85
DNLZ	-1.11
SNRPD1	1.75
	-0.66
PHC1	-1.87
PHC3	-1.68
PHC2	-1.09
SEC16A	-1.93
GTF2H5	0.41
MED22	2.52
	1.67
ZWINT	0.59
GOLT1B	2.42
GFI1B	1.16
GTF2H4	1.13
CSNK2A2	0.3
CSNK2A1	2.38
ZSWIM6	-1.52
IER3IP1	1.56
	0.83
TERF2IP	2.28
RNF8	1.02
CHMP3	-0.13
RNF7	-0.27
RNF4	1.79
RNF5	0.63
CHMP7	1.35
CHMP6	0.15
NET1	0.77
ZSWIM1	2.29
RECQL5	0.04
RECQL4	0.59
GCNT7	-0.73
	-2.42
GCNT1	-0.4
NAIF1	-0.21
MARK4	-0.84
MARK1	-0.51
MARK2	-0.13
MARK3	0.12
SLC12A9	0.31
STRIP1	0.13
NMD3	1.57
	2.67
	2.09
ZSWIM8	-1.83
FCF1	1.43
EXTL3	-1.41
	-0.02
SERF2	0.44
TIA1	-0.63
TMEM160	0.41
NUBP1	2.25
TMEM165	-1.29
TMEM164	-0.22
TMEM167A	2.07
TMEM168	-0.85
	1.16
C12orf10	0.5
TBC1D1	-1.5
TBC1D2	-1.12
TBC1D4	-0.82
TBC1D5	1.25
ANKRD11	-3.34
	-1.65
	-7.01
HNRNPDL	1.98
SDCCAG8	-1.63
SLC4A4	-2.24
RYR1	-4.33
	-0.31
RYR3	0.04
	1.0
SLC4A7	1.56
ITGAV	-1.74
	-2.1
C18orf32	2.39
SAE1	1.3
	-1.59
ITGAL	-0.38
ITGAM	-2.88
ITFG2	-0.56
	-7.94
ATE1	1.31
GTF2E1	0.48
GTF2E2	2.74
	-0.67
AKIRIN2	0.97
AKIRIN1	1.97
RGS14	-0.2
AP3M1	1.37
AP3M2	-0.42
	-0.4
LIMD1	0.93
	-1.19
ITGA8	0.34
ITGA9	-1.88
NOP58	1.31
ACSF3	1.12
ITGA4	1.785
ITGA5	-1.61
	-0.18
ITGA7	-3.81
ZNF865	-2.01
	0.53
POLE4	1.81
SARNP	-0.295
FLII	-0.73
ZNF91	0.44
C14orf119	0.73
TPCN1	-1.15
TPCN2	-1.33
CELA2A	-8.88
	0.06
TCIRG1	-2.92
LTBP4	-6.06
LTBP3	-4.59
LTBP2	-1.51
LTBP1	-4.11
	0.34
	1.34
	-3.78
GLTP	0.36
STK10	-1.04
M6PR	-0.69
NDUFS1	0.48
ZNF205	-0.41
SULF1	-3.48
LAMA3	-0.7
	-2.9
	-2.725
R3HCC1L	0.42
NDUFS2	0.84
	-1.35
	0.74
	-0.26
CBFB	-1.1
SECISBP2	-2.48
	0.17
NDUFS3	0.715
	-0.96
CACNA1H	0.44
CACNA1I	-1.87
KLHDC9	0.26
CTDSPL2	2.21
	1.14
CACNA1A	-2.17
CACNA1E	-2.68
CACNA1F	-0.39
CACNA1G	-1.16
IMPAD1	-1.96
CMC1	-0.6
	-1.43
CMC2	2.39
ARHGEF40	-1.03
RASAL2	0.48
	-0.875
DOPEY2	0.34
DOPEY1	-0.65
SHROOM3	-4.87
SHROOM2	-0.91
	-0.36
XRN1	0.52
XRN2	0.2
ARHGAP4	-1.24
	1.66
POT1	2.21
ARHGAP1	1.04
	-0.36
AP5Z1	-1.11
	0.54
DYNLRB1	1.94
RPUSD4	0.59
COL11A1	-0.49
COL11A2	0.38
	-1.09
	-0.34
DYNC1LI1	0.93
DYNC1LI2	0.8
	-1.1
DAXX	1.0
	1.91
UTP3	1.52
MTCH2	0.96
MTCH1	-2.44
RPUSD3	-0.18
ANKRD27	0.4
ANKRD26	1.29
	1.64
ANKRD24	-1.44
TIAL1	3.1
CNOT3	1.01
CNOT2	1.87
CNOT1	-1.02
CNOT6	-0.03
ANKRD28	1.08
	-0.4
XYLT2	-2.04
PTDSS1	1.04
IFT172	-2.48
	-2.26
UVRAG	-0.49
	0.41
PKLR	1.33
UFD1L	0.89
NFIC	-2.3
LGR4	-1.32
NCAN	0.26
TTF2	0.61
	0.18
TTYH1	-3.19
TTYH2	-1.41
CXCR4	-0.23
GRASP	-1.25
TMUB1	1.42
HLTF	0.56
NFIX	-2.2
TNFRSF13C	0.04
EPDR1	2.22
ZNF292	0.17
IGSF8	-2.37
IGSF6	0.05
TMUB2	0.98
IGSF1	-0.34
IGSF3	-0.49
CSNK1D	0.14
CSNK1E	-1.43
KLHDC1	-0.49
ALDH16A1	0.78
C7orf26	1.01
DLC1	-2.0
	0.76
C2orf42	0.16
REM1	-0.63
SYNRG	0.72
PKIG	-1.38
U2SURP	0.63
RPL14	3.1
RPL15	1.18
RPL10	0.38
RPL11	1.79
RPL12	-0.82
RPL13	0.29
	0.57
	2.15
RPL18	-0.12
RPL19	1.56
NUDT12	1.02
OGFOD3	1.01
OGFOD2	-0.28
ARHGEF25	-1.44
NUDT11	1.31
LYRM4	1.27
LNPEP	-0.77
CLTA	0.84
MPHOSPH9	1.49
GSS	0.6
GSR	0.77
	-1.35
	1.85
CLTB	0.775
SLCO2A1	-3.08
	0.05
IZUMO4	-0.84
SERPINI2	-0.8
PMFBP1	0.29
GSN	-3.93
PALM3	-0.82
WNT3	-1.41
WNT2	0.8
HK1	0.14
SYNGAP1	-2.22
MOB3C	1.42
MOB3A	1.12
	1.74
SOD2	0.82
SOD1	1.1
GBP2	-2.73
INPP4A	-2.17
GBP7	-1.27
GBP5	-1.56
MKL1	-0.26
	-1.79
LSG1	1.39
	0.14
FES	-0.91
CUL9	-4.7
NECAP1	-0.91
TEX2	-1.84
COX7A2L	1.15
KLKB1	0.85
GNAS	-0.27
CSTF2T	0.85
TMPRSS7	1.14
INSR	-0.04
	-0.03
	-0.86
UQCRC2	1.31
NAGLU	-2.34
TMED10	1.4
DMXL2	-1.12
DMXL1	0.41
MBIP	1.44
BCL2L12	1.45
TM4SF1	-2.22
IMPDH2	0.74
	2.02
NFATC2IP	1.21
EED	1.68
	-1.58
CHGA	0.44
	-1.69
	-1.71
C7orf50	0.96
	-0.8
	-1.42
LDLRAD3	0.66
NAPB	1.32
	-1.02
ACVRL1	1.14
NAPA	1.6
CLYBL	0.58
ID2	-1.19
ID3	-1.13
PGM1	-1.41
ID1	-0.63
C6orf62	-0.66
PDCD6IP	0.74
CHAF1A	1.04
MAMSTR	1.61
CHAF1B	1.76
	-0.39
	1.58
RMND5A	0.47
RMND5B	-1.47
	0.385
CGN	-1.12
TPD52	0.04
WWC2	-2.66
WWC1	-2.25
CHTF18	1.26
SLC30A10	1.3
OR2H1	-1.45
	-1.64
OBSCN	-3.5
ITPRIP	-0.62
CAMK1	-1.73
TRUB1	0.93
TRUB2	1.16
IDS	-0.9
	-0.42
ZNF507	1.73
	0.83
AMMECR1	0.97
	1.3
IDE	1.48
	1.32
	-0.22
	-0.28
	0.28
EIF5B	0.6
FTMT	0.06
GSTA3	-1.32
PXK	-0.96
	-0.49
PXN	-1.64
WDFY3	-1.77
EIF5A	0.57
ACY1	-0.81
	1.24
ANKRD37	0.26
LYL1	0.67
WDFY1	-1.09
	0.705
MED30	0.01
MED31	0.77
	-2.31
SPRYD3	-1.38
NF2	-1.52
NF1	-1.61
SPRYD7	0.75
	-0.33
	-1.02
	-0.72
	-0.62
	0.58
CUL2	-0.34
AEBP2	-2.84
ISOC2	0.7
FRAS1	-4.32
NBL1	-2.26
	1.15
LAMTOR3	2.03
	-1.24
UTP15	0.84
BNIP3L	0.11
HIST1H3C	3.13
HIST1H3G	3.13
ANGPT2	-1.1
CCNYL1	-1.0
	1.37
EPS15	0.65
PTPRU	-0.12
PTPRS	-3.07
PTPRQ	-1.33
TAZ	1.24
PTPRG	-1.69
PTPRF	-3.58
	-1.41
PTPRC	-2.41
PTPRB	-0.12
PTPRA	1.26
	1.27
AACS	-0.37
PTPRK	-1.71
PTPRJ	-3.05
RASA2	-0.9
RASA3	-2.24
PPHLN1	0.02
	0.56
VPS8	1.85
CBL	-0.18
IMMP1L	1.6
KIF16B	-1.86
	1.44
	-1.5
DHODH	-0.26
NPHP3	-1.02
NPHP1	0.81
HLA-DRB5	-3.21
	0.06
	0.04
EVPL	-3.65
FAM172A	0.32
MAP3K2	-0.72
MAP3K3	-1.69
LRRC14	-1.6
MAP3K1	-0.72
MAP3K6	-1.38
	0.4
MAP3K4	-0.9
MAP3K5	-2.27
ABCA6	0.13
ABCA7	-0.19
BASP1	-2.15
FIZ1	-0.38
ABCA3	-0.56
ABCA1	-3.97
LTK	-0.63
CHAMP1	-0.28
FAM32A	-1.49
	-0.64
	-0.23
ABCA9	-2.15
	0.06
ZBTB2	1.24
ZBTB1	-0.03
HHEX	0.26
ZBTB6	1.17
ZBTB5	1.14
USHBP1	-1.78
	0.13
COLGALT2	-1.31
RRAS2	-1.52
RFX1	0.19
RFX2	-6.94
RFX3	0.1
TMEM109	-1.13
TMEM108	-1.2
TMEM101	0.77
MYD88	1.02
BORA	1.43
TMEM104	-1.58
	-0.23
ASPSCR1	0.4
IFT52	2.14
FYN	0.85
	1.79
PRR5L	0.98
NKTR	-1.53
PDZRN4	-0.42
ETV3	-1.41
ETV5	-0.6
ETV6	1.24
SH3BP4	-2.22
POP1	0.24
CREB3L1	-1.11
POP7	1.34
SH3BP1	-0.35
SH3BP2	-0.65
SERBP1	1.62
PRPS1L1	0.63
EIF4G2	1.585
	1.0
	-0.43
	-4.79
	2.18
	-0.1
GDE1	0.7
	0.45
	-0.15
C5orf63	-0.85
GLUL	-0.02
ZNF148	0.61
AKAP12	-0.79
AKAP13	-0.93
AKAP10	1.29
AKAP11	1.59
PIK3C3	0.76
TMC4	2.78
GLB1L2	-0.49
TMC8	0.4
SNAP47	-0.77
	-0.68
ANXA11	-1.73
EFHD2	1.9
MLF2	0.05
FILIP1	-1.32
	-1.78
	0.54
TCN2	-1.13
HERC1	-0.49
HERC3	-1.35
HERC2	-0.99
HERC4	1.12
HERC6	0.8
	0.66
ZCCHC11	0.38
RAB8A	0.47
ZCCHC17	1.22
ZCCHC14	-1.88
BTN1A1	1.33
PCID2	2.31
ZFYVE9	-0.55
PPP1R18	-1.76
	-1.1
ZFYVE1	1.19
	0.67
DNAJA2	0.81
DNAJA3	1.22
DNAJA1	1.04
DNAJA4	0.31
PSMA3	1.225
	1.24
WDR26	1.57
WDR24	-0.86
KIF17	-0.91
WDR20	1.77
	0.06
KIF11	-0.23
IGF2	0.0
ACER3	1.88
SMIM1	1.26
APOE	-5.05
APOB	0.59
PDE6D	1.57
SMIM5	1.54
RAD21	1.445
APOH	0.45
ESF1	0.07
RECQL	0.47
	-2.43
ALPPL2	-0.13
LACTB2	1.37
CCSER2	-0.64
	0.13
KCNG2	0.06
BCL7B	1.07
	0.9
STARD8	-1.87
STARD9	-1.97
SRP14	-0.655
STARD3	0.13
SRP19	-0.255
STARD7	-0.38
STARD4	0.64
ANTXR1	-1.39
DFNB59	0.82
	0.26
	-0.33
PDIK1L	-0.47
MCPH1	0.68
TRMT2A	0.2
	-2.02
	0.26
CDK5RAP2	-0.88
CDK5RAP3	1.52
PBX4	0.24
CDK5RAP1	1.57
PBX2	0.05
PBX3	2.21
PBX1	-1.65
	-0.99
DOCK8	-1.8
DOCK9	-1.25
DOCK2	-2.74
DOCK1	-2.09
DOCK7	-0.35
DOCK4	0.1
DOCK5	-3.31
	1.6
LPCAT3	-0.07
LPCAT1	2.02
TOR1A	1.04
	-1.55
TFR2	2.04
	-1.12
ASB17	2.49
RSL24D1	1.12
GLTSCR1	-0.25
	0.67
	-1.19
ACOT9	1.41
ALCAM	-3.34
RNF25	0.88
RNF26	1.19
RNF20	-0.195
HSD17B12	-0.62
ZNF317	-4.71
HSD17B10	1.55
FOXK2	-1.4
FOXK1	0.58
ZNF318	-0.27
	-1.41
ACOT11	0.89
PRR14L	-0.27
MOB4	0.9
RNF128	0.04
RNF126	-1.36
RNF123	-0.1
RNF121	0.85
IL2RB	-1.06
	0.52
IL2RG	-1.23
	0.38
	1.04
TBC1D30	-1.62
TBC1D31	0.65
TBC1D32	-0.4
TFRC	1.29
	0.84
	0.32
	0.98
	0.06
KCTD7	2.02
	-1.32
DHX58	-1.53
ZNF275	0.44
DHX57	0.01
ZNF277	-1.52
ZNF276	-1.44
POLR3GL	0.08
COX20	1.6
	0.1
	0.41
NUP214	-0.23
MINOS1	0.13
NUP210	0.32
NAA10	1.36
PIP4K2C	2.4
PIP4K2B	-1.71
NUPR1	-0.92
SYNPO	-2.95
SLC23A1	-1.24
	-1.99
BBX	-0.86
	1.24
	-8.37
	-0.79
	-3.19
DUSP19	2.14
DUSP16	0.17
	-0.72
DUSP12	-0.97
MYH10	-1.75
MYH11	-3.12
SGPL1	0.43
MYH13	-1.69
MYH14	0.48
MYH15	-0.49
	-1.33
	1.62
C17orf80	1.14
NUFIP2	0.07
GHDC	1.06
	1.34
GPS1	1.18
GPS2	2.33
PFKFB1	0.19
PFKFB3	-0.78
PFKFB2	0.25
DNAJB12	0.71
	-0.83
	1.34
CAMTA2	-2.57
	-0.12
	-0.33
	-0.27
MOB1A	1.22
MOB1B	1.06
SLC20A2	-1.35
SLC20A1	1.96
ALB	0.06
FOSL2	-1.67
	0.66
SCNM1	0.63
TM9SF1	-1.84
TM9SF3	0.61
TM9SF2	-0.22
CADM4	-1.35
KAT6A	-0.24
SRCIN1	-0.71
	0.76
	0.76
	2.19
	-0.82
CEP120	0.37
	-1.32
VEZT	0.62
