UBE2Q1	1.2
RNF14	0.89
UBE2Q2	-0.05
RNF10	-0.12
RNF11	-0.81
RNF13	0.52
	1.13
	1.04
	-1.0
MZT2A	0.46
	-0.01
ATRX	-1.11
PMM2	0.27
PMM1	-2.13
ASS1	-2.39
	0.24
NCBP1	-0.53
	-1.24
ATRIP	-0.79
ZNF703	0.77
STYXL1	1.4
SPR	0.86
	-2.36
ZNF706	3.03
ZC3H10	0.04
	-1.52
RNF115	0.56
	-0.53
ZC3H14	-0.94
RNF111	-0.72
	0.43
ZC3H18	0.76
DHX8	1.52
DHX9	0.27
TCOF1	0.77
NSRP1	0.37
NUP98	-0.25
XPC	-0.73
SP1	-0.27
GRINA	1.78
SP3	-0.01
NUP93	1.54
SPPL3	1.52
GOLIM4	-0.28
	1.73
OPA1	0.54
	0.15
RAB40C	0.71
RAB40B	-0.69
FBL	-0.1
	1.51
B2M	1.32
	-0.2
SPPL2A	0.7
SPPL2B	-0.85
ITGA8	1.05
ITGA9	-1.05
UGCG	0.71
ATP2A1	0.98
ATP2A2	1.13
ITGA1	1.19
ITGA2	2.77
NOP2	0.19
ITGA4	-0.51
ITGA5	0.08
ITGA6	2.99
DENND4A	-1.01
DENND4B	-0.96
DENND4C	-0.37
SWAP70	1.03
PREB	0.24
UFSP1	-1.42
UFSP2	-0.26
	-0.05
	-1.09
	1.05
PAMR1	-1.2
	0.15
FBXL12	-0.01
TIPRL	1.63
FBXL14	-0.46
FBXL17	0.32
HRH1	-0.61
FBXL18	0.51
GHDC	1.58
	-1.05
	2.03
THSD4	1.53
ABHD14A	-0.1
THSD1	1.61
CHST9	0.86
COL4A5	0.02
	-1.78
COL4A2	1.71
COL4A1	2.26
SLC35D2	0.11
GRN	1.53
CHST3	-1.1
CHST4	-2.64
CHST7	-1.37
ITGAX	2.02
ABHD10	-0.4
	0.71
	0.4
HLCS	-1.07
ITGAV	1.24
	1.99
CAMK1	0.42
ITGAL	-0.13
ITGAM	0.42
HLF	-0.82
ITGAD	-0.62
COPRS	1.6
	-0.65
	-1.99
LRPAP1	0.0
SMAD5	1.27
SMAD7	-0.57
GOLPH3L	0.72
SMAD1	-0.16
SMAD2	0.4
SMAD3	0.7
MUS81	1.3
ST3GAL6	-1.77
AMMECR1L	-1.2
	-3.45
	-1.11
NECAP1	-0.49
IGF2R	1.84
ABHD14B	-0.54
SLC36A4	-0.32
CKS1B	1.21
ERICH5	1.89
ERICH3	-1.85
ERICH1	-0.57
C14orf119	-0.16
	-1.69
	-0.34
ART4	-1.46
	0.21
HAUS7	-0.46
ADRM1	1.4
TCEA2	-0.49
TCEA3	-0.24
TCEA1	1.38
ABCD1	1.67
COX4I1	1.33
BFAR	0.6
	-1.1
	-0.17
	-0.96
PIPOX	0.37
CADPS2	1.95
RLF	0.15
MCF2L	0.17
CCDC110	0.6
LEO1	0.69
MTCL1	-1.8
ATP1A4	0.6
ATP1A3	-0.33
ATP1A2	-1.33
ATP1A1	0.88
	-0.41
MGRN1	0.39
TCP1	0.99
CRTAP	0.76
SPHK2	-1.33
DPT	-1.16
	-0.58
	0.77
CUEDC2	-1.56
CBLB	-1.29
CPEB4	-0.96
	0.7
CPEB3	-1.38
CPEB2	-0.55
	-0.36
SRBD1	-0.69
ABAT	-0.93
	1.22
ZNF780B	0.21
FRG1	-2.73
	-2.22
IFT80	0.51
	0.48
IFT88	-0.45
SP2	0.17
	0.64
SP4	0.35
IL10RB	-0.03
ATG4C	0.26
ATG4B	-0.89
ATG4A	-0.28
THUMPD2	-0.96
ATG4D	-2.25
	-3.36
CFH	-0.17
CFI	-1.47
PNP	-2.04
ANKFY1	-1.27
CFB	-2.2
	-0.46
CREBBP	0.3
PNN	-1.16
	-0.41
ATP6V0E1	1.68
ATP6V0E2	3.2
NFIL3	-3.12
CFP	-3.74
AAAS	0.13
	-5.65
SIDT2	-2.36
CSK	-0.64
FGGY	-2.01
SIX5	0.0
	1.25
PM20D1	-1.43
MR1	0.48
CNPY4	-1.33
CNPY3	-0.55
CNPY2	1.52
	0.21
SYNJ1	-0.5
HMG20A	-0.99
HMG20B	0.88
AAGAB	1.55
C4orf19	-1.71
	1.28
SCYL2	0.54
SYNJ2	0.94
MRO	-3.55
ZFP82	-2.71
SMDT1	0.76
	2.15
APP	0.11
RFX7	0.38
RFX1	-0.8
RFX2	-1.85
RFX3	0.57
YDJC	0.09
IBA57	-0.35
APC	-0.35
TMEM179B	1.24
ETV3L	-1.23
UQCRC2	0.88
XPNPEP1	0.54
XPNPEP2	-5.97
	-0.86
	0.35
GGCX	0.47
ADNP	-0.78
PM20D2	0.32
	1.7
STXBP6	2.1
KHDRBS1	0.2
	0.42
KHDRBS3	1.66
KHDRBS2	-1.09
ESPL1	1.46
	-0.9
	0.05
	0.1
C11orf1	0.16
TARS2	0.94
DPYSL2	0.1
DPYSL3	2.45
	0.21
	-1.09
IGFBP2	-0.4
IGFBP3	-2.94
IGFBP1	-2.84
BOP1	0.66
MRGPRF	-2.5
IGFBP4	0.44
IGFBP5	-0.09
CYP1B1	1.66
CYP2R1	0.55
CKLF	1.64
HNRNPA1L2	-0.17
GJA1	0.58
	0.4
APLNR	1.53
GJA8	-0.59
CYP8B1	-1.4
	3.05
	-0.01
UNC5CL	-1.62
KDM3B	0.43
KDM3A	0.15
ZNF112	-1.87
NIF3L1	0.44
TMC4	-2.02
NSL1	0.77
TMC6	-0.75
H1FX	-0.14
APIP	0.96
EIF2B4	0.14
GTPBP2	1.31
TMC8	-1.53
EIF2B3	-1.29
EIF2B1	1.46
PRKAR2A	0.41
PRKAR2B	-0.71
MAGT1	-0.17
TXNIP	-1.88
QPRT	1.15
IFT140	1.3
MLF2	-0.27
TMEM14C	1.12
	1.82
TMEM14A	1.11
FANCF	0.56
MECOM	1.67
	0.29
	-2.53
SDR9C7	-3.7
TTC1	1.06
	-0.25
CEPT1	-0.06
	0.62
PHACTR4	0.82
CLIC4	0.03
CLIC5	-1.31
PHACTR1	-1.1
LRSAM1	0.38
NUP107	0.42
	-0.8
	0.32
TMEM147	1.4
ASGR1	-0.51
ASGR2	-1.74
	0.33
TMEM143	-1.64
RIT1	0.63
TMEM141	0.44
TMEM140	0.34
API5	-0.4
	1.12
RNF180	-1.59
	2.21
SECISBP2L	-0.6
	0.21
	0.33
ZSWIM3	0.4
FAM32A	-0.14
PUF60	1.96
KIAA1191	1.29
	-0.25
VMP1	1.07
	-1.73
ZMAT1	-1.48
ZMAT3	0.74
ZMAT2	1.26
	1.21
C19orf24	0.84
	-0.41
NR1D1	0.62
NR1D2	0.29
ITGB1BP1	-0.44
	0.15
	-1.26
	1.09
ZNF2	0.52
ZNF3	0.79
TIPIN	0.58
PHLDA1	-1.23
ZNF8	0.26
ZAP70	-0.06
	2.55
	-1.07
OGFR	0.23
EPM2AIP1	-0.88
CDC5L	-0.05
RAC2	0.59
RAC3	2.4
RAC1	0.62
SBDS	0.57
VCL	0.84
VCP	0.4
AP2A1	0.62
AP2A2	-0.06
FIGNL1	0.54
PBX2	0.2
PBX3	0.45
PBX1	-0.26
NSUN3	1.07
NSUN2	0.68
NSUN5	1.81
NSUN4	-0.34
NSUN7	-1.31
NSUN6	-1.64
TUBG1	2.39
TUBG2	1.94
HCFC1	-0.04
TARS	-0.18
PTCH1	0.11
TIMM44	-0.71
PAGR1	1.35
	-1.1
RAD9A	-0.41
	-1.83
ERGIC2	0.38
ERGIC3	0.13
ERGIC1	0.99
CLEC14A	2.32
	-0.22
CLU	-1.33
B3GAT3	0.94
CPPED1	1.88
UXT	0.24
	-0.22
	-0.11
	0.47
SPG21	0.92
	-0.28
GSDMD	1.02
	-0.89
	-0.48
	-1.6
	-1.25
DLGAP4	0.63
DLGAP5	1.38
FBXL15	1.25
MBNL2	-0.18
MBNL3	-0.26
SRSF10	0.13
A1BG	-0.72
CLCN3	-1.19
CLCN2	-1.58
CLCN7	2.74
CLCN6	-1.11
CLCN5	-0.32
CLCN4	-0.76
	0.36
BRD8	0.23
BRD9	1.52
KSR1	0.23
	0.54
BRD7	0.39
BRD1	-1.2
BRD2	-0.42
BRD3	0.16
DNAJA2	-0.18
DOLPP1	0.51
PTPN18	-0.38
SPAG4	0.31
DNAJA4	-1.6
AKT1	-1.3
PTPN13	-2.07
PTPN12	0.32
PTPN11	0.85
MYCBP	0.77
PTPN14	1.3
FPGS	-1.12
