UBE2Q1	-0.65
RNF14	-0.11
UBE2Q2	-0.68
RNF10	-0.45
RNF11	-0.61
RNF13	0.25
REM1	1.14
	0.23
MZT2A	-0.41
	-0.63
CHMP1B	0.45
PMM2	-0.03
PMM1	-0.85
ASS1	-0.77
	0.83
	-1.34
	-0.24
ZNF879	-0.02
ZNF878	-1.22
NID2	0.0
ZNF703	-0.34
	-2.49
	0.28
ZNF706	0.47
ZNF704	-0.88
ZC3H10	0.13
	1.0
RNF115	0.02
	0.11
SPN	0.69
RNF111	0.66
ZC3H18	0.13
GRIN1	-0.88
SP8	-0.69
DHX9	0.74
TCOF1	-0.01
NSRP1	0.8
NUP98	-0.14
SP1	-0.32
GRINA	-0.88
SP3	0.01
NUP93	0.33
SP5	-1.43
SP6	-0.65
SP7	0.99
SPPL3	0.07
GOLIM4	1.49
OPA3	0.93
	0.93
RAB40C	-0.91
RAB40B	-2.7
	0.6
COL7A1	0.14
	-0.26
GTSE1	0.16
	-0.57
SPPL2A	-0.85
SPPL2B	-0.22
ITGA8	-0.32
ITGA9	0.89
UGCG	-0.28
ATP2A1	0.66
ATP2A3	0.91
ITGA1	1.3
ITGA2	0.45
ITGA3	-0.08
ITGA4	1.29
ITGA5	0.2
ITGA6	0.3
ITGA7	0.85
DENND4A	0.54
DENND4B	-1.36
	-0.25
SWAP70	0.48
UFSP1	-0.42
PHLDA2	-0.3
GAP43	1.54
PAMR1	-0.25
FBXL13	-1.52
FBXL12	-2.79
TIPRL	-0.16
FBXL14	-1.81
FBXL17	0.29
FBXL16	-3.17
FBXL19	-0.2
FBXL18	-0.79
GHDC	-0.09
SDK1	0.16
SDK2	-0.46
C9orf43	0.06
TPRN	0.24
THSD4	-0.27
FAM212B	0.91
FAM212A	-0.36
CHST9	1.16
CHST8	1.03
COL4A5	-0.1
ARID3C	1.3
COL4A3	-0.03
COL4A2	0.21
COL4A1	-0.28
CHST1	0.53
CHST3	0.91
CHST2	0.99
	-0.78
CHST4	1.59
CHST7	0.06
CHST6	-0.81
HLX	-0.49
NOG	0.28
ITGAV	0.04
	0.05
CAMK1	-0.98
ITGAL	-0.25
HLF	-0.12
NOV	0.89
ITGAD	-0.2
ITGAE	1.26
	-0.46
SMAD9	0.15
TRERF1	1.42
LRPAP1	0.09
SMAD5	0.34
SMAD7	-1.78
GOLPH3L	0.37
SMAD1	0.18
SMAD2	-0.5
SMAD3	-0.3
MUS81	0.43
AMMECR1L	0.54
IGF2R	0.11
ABHD14B	-0.74
RAD21L1	-1.21
SLC36A4	0.21
SLC36A3	0.44
CKS1B	0.11
SLC36A1	-0.07
	0.25
ERICH5	-0.4
ERICH1	0.78
C14orf119	0.59
ART1	-0.6
HAUS7	0.06
ADRM1	-0.21
TCEA2	-0.58
TCEA3	0.44
COX4I1	-0.44
BFAR	-0.29
ABCD2	0.08
CCDC116	2.07
CADPS2	0.74
CCDC114	0.35
RLF	0.46
CCDC112	-0.49
MCF2L	-0.57
CCDC110	-1.0
LEO1	0.89
MTCL1	-0.92
ATP1A4	0.2
ATP1A3	-0.55
ATP1A2	0.12
ATP1A1	-0.51
MGRN1	-0.14
CRTAP	-3.37
SPHK2	-0.39
SPHK1	-0.17
IPO11	0.39
CUEDC2	0.37
SP9	-2.26
CPEB4	0.63
	0.89
CPEB1	0.62
CPEB3	-0.52
CPEB2	0.99
	-0.02
SRBD1	-0.03
ABAT	0.54
	-0.08
ZNF780B	-0.03
	0.49
IFT80	0.88
IFT81	0.61
IFT88	0.24
IL10RA	-1.11
SP2	-0.36
CNTF	-0.51
MCM10	0.49
SP4	0.91
IL10RB	-0.31
ATG4C	0.16
ATG4B	-0.37
ATG4A	1.28
CREB5	0.03
PHOX2A	-0.72
POU2F2	0.54
CAMKV	0.3
	1.03
	-1.29
LRGUK	1.53
CFI	-1.42
PNP	0.17
CFD	-0.44
	-1.19
PNN	0.71
ATP6V0E1	-0.09
CFP	-1.04
OSER1	-0.64
AAAS	0.33
SIDT2	-0.69
SIX4	-0.42
SIX5	0.11
	1.04
MR1	1.5
SIX2	-0.64
SIX3	-0.09
CNPY4	-0.15
CNPY3	0.12
CNPY2	0.72
CNPY1	0.04
	-0.44
SYNJ1	0.3
KNDC1	-0.74
HMG20A	0.63
HMG20B	-0.37
PHOSPHO2	0.16
AAGAB	0.16
C4orf19	-0.03
GDA	-1.16
SYNJ2	0.83
