UBE2Q1	-0.01
DUOXA1	-0.09
UBE2Q2	-1.62
RNF10	0.5
RNF11	-0.93
RNF13	-0.94
REM1	-0.06
REM2	0.18
	0.62
MZT2A	-0.91
	-0.77
CHMP1B	-0.71
PMM2	0.27
PMM1	-0.98
ASS1	-1.74
	0.1
	0.38
ZNF879	-0.98
ATRIP	-0.16
ZNF703	-0.98
	0.5
	-0.49
ZNF706	0.65
ZNF704	1.09
ZC3H10	-0.13
	0.27
RNF115	0.27
	-0.01
SPN	-0.99
RNF111	-0.82
ZC3H18	0.68
GRIN1	2.4
SP8	-0.42
DHX9	0.41
TCOF1	0.72
NSRP1	0.74
NUP98	0.43
SP1	0.82
GRINA	0.13
SP3	-0.08
NUP93	0.59
SP5	-2.03
SP6	0.03
SP7	-0.22
SPPL3	0.76
GOLIM4	-0.35
OPA3	-0.1
	-0.44
RAB40C	0.11
RAB40B	-0.14
COL7A1	-0.02
	1.2
GTSE1	-0.03
SPPL2A	0.75
SPPL2B	0.24
NSL1	0.31
ITGA9	-1.97
UGCG	-0.28
ATP2A1	-0.17
ATP2A3	-0.62
ITGA1	-1.11
ITGA2	0.48
ITGA3	-3.42
ACO1	0.28
ITGA5	0.9
ITGA6	0.4
ITGA7	1.65
DENND4A	0.12
DENND4B	-1.39
SWAP70	4.5
UFSP1	0.05
PHLDA2	-0.24
FBXL13	-0.84
FBXL12	-0.35
TIPRL	-0.84
FBXL14	0.05
FBXL17	0.53
FBXL16	1.14
FBXL19	0.41
FBXL18	0.27
GHDC	-0.2
SDK1	-1.42
SDK2	-0.27
TPRN	1.35
THSD4	-0.36
FAM212B	-0.7
FAM212A	-0.75
CHST8	0.5
COL4A5	2.52
COL4A4	1.04
COL4A3	0.02
COL4A2	-1.08
COL4A1	-0.27
CHST1	0.66
CHST3	-1.12
CHST2	0.3
	-0.42
CHST4	1.35
CHST7	1.4
CHST6	-0.88
COX6B2	-0.08
HLX	-0.78
NOG	-1.16
ITGAV	0.03
	0.89
CAMK1	-0.38
HLF	-1.76
NOV	-2.4
ITGAD	-1.9
ITGAE	0.15
	0.04
SMAD9	0.6
TRERF1	1.61
LRPAP1	-0.11
SMAD5	-0.04
SMAD7	1.37
GOLPH3L	0.21
SMAD1	1.15
SMAD2	-0.88
SMAD3	-0.98
MUS81	-0.96
AMMECR1L	-0.66
IL1RAPL1	1.18
IGF2R	-2.95
ABHD14B	-0.57
RAD21L1	0.76
SLC36A4	-1.86
SLC36A3	-0.78
CKS1B	0.37
SLC36A1	-0.49
	0.17
ERICH5	-0.05
ERICH1	0.02
C14orf119	-0.01
HAUS7	-0.09
ADRM1	0.16
TCEA2	0.17
TCEA3	1.23
COX4I1	-0.14
BFAR	-0.49
ABCD2	0.75
PIPOX	-0.08
CCDC116	0.38
CADPS2	0.13
CCDC114	0.03
RLF	-0.56
CCDC112	0.17
MCF2L	-1.15
CCDC110	-0.02
LEO1	1.22
MTCL1	-0.7
ATP1A4	0.39
ATP1A3	-0.72
ATP1A2	0.15
ATP1A1	0.35
MGRN1	-0.49
CRTAP	-0.25
SPHK2	0.02
SPHK1	-0.27
IPO11	0.81
CUEDC2	-0.11
SP9	-0.45
CPEB4	-0.52
CPEB3	0.69
CPEB2	-2.16
	1.2
SRBD1	0.45
ABAT	-0.09
	-0.39
ZNF780B	0.1
	-0.54
IFT80	-0.17
IFT81	0.28
IFT88	1.56
IL10RA	-0.69
SP2	0.68
CNTF	0.5
MCM10	0.86
SP4	1.29
IL10RB	-1.08
ATG4C	-1.38
ATG4B	-0.07
ATG4A	-0.52
CREB5	-0.44
PHOX2A	0.51
POU2F2	0.71
PHOX2B	0.93
	0.93
	0.62
GPT2	-1.57
PNP	-0.94
CFD	0.67
CFB	1.59
	2.11
PNN	0.34
ATP6V0E1	-1.44
CFP	0.18
OSER1	-0.49
AAAS	1.34
SIDT2	0.52
SIX4	-0.76
SIX5	0.8
MR1	-0.87
SIX2	-0.07
SIX3	0.76
CNPY4	-0.42
CNPY3	0.49
CNPY2	-0.05
	-0.34
SYNJ1	-1.16
KNDC1	-0.41
HMG20A	-0.16
HMG20B	0.98
GLT8D2	0.61
AAGAB	-0.27
GLT8D1	0.41
GDA	1.23
SYNJ2	0.42
MRO	-0.48
SYPL1	-0.09
	0.23
SYPL2	0.8
	0.29
	0.04
APP	-1.04
RFX7	0.19
RFX1	0.56
RFX2	1.07
RFX3	-0.39
YDJC	0.48
IBA57	0.57
APC	0.19
TMEM179B	-0.13
ETV3L	0.0
UQCRC2	-0.97
XPNPEP1	0.17
	1.04
	-0.56
PAPLN	0.15
ADNP	1.02
	0.78
GGCT	0.56
FLT3	-0.94
	0.68
C11orf1	-0.21
DPYSL5	-0.01
DPYSL2	-0.63
DPYSL3	2.98
	0.77
IGFBP2	0.55
GSG1L	-0.26
HBE1	-0.11
OSR2	-0.11
CYP1B1	1.27
CYP2R1	-0.08
CKLF	-0.28
HNRNPA1L2	0.3
GJA3	-0.24
GJA4	-0.56
	-2.1
KDM3B	0.87
	0.45
	0.41
KDM3A	0.01
ZNF112	-0.42
SEZ6L	0.5
TMC4	0.93
NOP9	0.78
TMC6	-2.44
H1FX	0.94
APIP	0.73
TMEM200A	-0.16
EIF2B4	-0.15
TMC8	-1.12
EIF2B3	0.06
EIF2B1	-0.49
PRKAR2B	0.96
MAGT1	-0.31
S1PR4	0.17
MLF1	0.24
IFT140	0.03
TMEM14C	-1.0
TMEM14A	1.09
FANCF	1.11
MECOM	3.22
ITGA2B	0.63
FANCE	1.64
LURAP1	-0.43
	0.24
CLIC6	-0.8
PHACTR4	0.45
CLIC4	-2.79
NOP2	-0.27
NLGN2	0.6
NLGN3	-0.57
PHACTR3	0.18
NUP107	-1.9
	-2.54
KRTAP2-1	-1.97
	-2.19
TMEM147	-0.09
ASGR1	1.11
TMEM145	1.03
TMEM144	-0.02
RIT1	0.51
TMEM141	-1.3
FOXL1	0.71
RTKN2	-0.22
SOWAHA	1.17
SECISBP2L	0.34
SOWAHC	1.4
SOWAHD	-0.43
HAS2	-2.97
	-1.52
FAM32A	0.77
FER1L6	-0.67
VMP1	-0.66
FER1L5	-0.2
ZMAT3	-0.05
ZMAT2	0.05
ZMAT5	0.54
C19orf24	0.49
C19orf25	0.5
MYBL1	-0.8
NR1D1	3.97
CASP9	-0.47
	0.29
ZNF7	0.11
ZNF2	0.14
ZNF3	-0.8
TIPIN	-0.13
PHLDA1	1.41
RNF182	-0.71
ZNF8	0.41
OGFR	0.08
CDC5L	-0.31
	-0.06
RAC3	-0.02
RAC1	-0.17
SBDS	-1.97
VCL	1.72
CPLX2	1.8
CPLX1	2.09
AP2A1	-0.62
AP2A2	0.17
PBX4	-0.45
FIGNL1	-0.77
PBX2	1.4
PBX1	0.75
TMOD2	0.81
NSUN3	0.58
NSUN6	0.92
TUBG1	-1.28
TUBG2	-1.15
PTCH2	0.24
PTCH1	0.77
TIMM44	-0.11
PAGR1	-0.45
	-0.09
	0.6
RAD9A	-0.38
	0.61
ERGIC3	-0.34
CDR2L	-0.83
ERGIC1	0.52
PDF	0.87
CPPED1	0.15
	-0.05
	-0.66
TTC30A	0.97
SPG21	0.97
	-0.55
	0.93
GSDMC	-0.39
GSDMD	0.13
UPK1A	-0.38
DLGAP3	0.05
DLGAP4	-0.76
DLGAP5	3.16
BRDT	0.4
FBXL15	0.37
MBNL2	-0.92
MBNL3	-1.77
CYP27B1	0.77
CDX2	0.13
OIP5	0.61
CLCN3	0.41
CLCN2	-0.21
HRH1	-0.09
CLCN7	-0.16
CLCN5	0.78
CLCN4	0.17
	0.05
BRD8	-1.15
	-0.27
BRD7	0.93
ABHD16B	-1.33
BRD3	-1.15
DNAJA2	0.35
DNAJA3	0.41
PTPN18	-0.3
DNAJA4	-2.73
PTPN13	0.1
PTPN12	-0.15
PTPN11	-0.45
LRFN1	1.25
PTPN14	-0.48
GALR2	-0.74
UTRN	-0.13
LYAR	-0.2
C16orf74	-0.14
MRPL24	0.19
MRPL27	-0.61
CSF2RA	-2.3
MRPL21	0.37
MRPL20	0.0
SEH1L	0.85
MRPL22	1.25
GAB2	-0.99
MRPL28	0.23
GAB1	-0.3
C2orf81	-0.56
	-0.65
